car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car A,0,0.0,1,0.0,1,0.0,-1.5,-1.5,0.0005,0.0,-0.0,1.0,1.0,0.0,0.0
Car B,0,0.0,1,0.0,1,0.0,1.5,1.5,0.0005,0.0,0.0,1.0,-1.0,0.0,0.0
Car A,1,0.0667,1,0.003,1,0.003,-1.496,-1.496,0.0614,0.9133,0.0066,1.0,1.0,24.962,-0.0
Car B,1,0.0667,1,0.003,1,0.003,1.496,1.496,0.065,0.967,-0.0063,1.0,-1.0,-24.962,0.0
Car A,2,0.1333,1,0.012,1,0.013,-1.488,-1.488,0.2012,2.097,0.0316,1.0,1.0,25.0,-0.0
Car B,2,0.1333,1,0.013,1,0.013,1.49,1.49,0.2064,2.1216,-0.0263,1.0,-1.0,-25.0,0.0
Car A,3,0.2,1,0.031,1,0.031,-1.481,-1.481,0.3343,1.9963,0.0354,1.0,1.0,25.0,-0.001
Car B,3,0.2,1,0.032,1,0.032,1.484,1.484,0.3282,1.8268,-0.0358,1.0,-1.0,-25.0,0.001
Car A,4,0.2667,1,0.058,1,0.058,-1.473,-1.473,0.4378,1.5533,0.0582,1.0,1.0,25.0,-0.001
Car B,4,0.2667,1,0.058,1,0.058,1.476,1.476,0.4406,1.6858,-0.064,1.0,-1.0,-25.0,0.001
Car A,5,0.3333,1,0.09,1,0.09,-1.464,-1.464,0.5362,1.4756,0.083,1.0,1.0,25.0,-0.001
Car B,5,0.3333,1,0.092,1,0.092,1.466,1.466,0.5481,1.6129,-0.0947,1.0,-1.0,-25.0,0.001
Car A,6,0.4,1,0.129,1,0.129,-1.453,-1.453,0.6328,1.449,0.1123,1.0,1.0,25.0,-0.002
Car B,6,0.4,1,0.132,1,0.132,1.454,1.454,0.6478,1.4948,-0.1289,1.0,-1.0,-25.0,0.002
Car A,7,0.4667,1,0.175,1,0.175,-1.439,-1.439,0.7317,1.4832,0.1449,1.0,1.0,25.0,-0.003
Car B,7,0.4667,1,0.178,1,0.178,1.44,1.44,0.7452,1.4615,-0.1641,1.0,-1.0,-25.0,0.003
Car A,8,0.5333,1,0.226,1,0.226,-1.423,-1.423,0.8325,1.5127,0.1841,1.0,1.0,25.0,-0.004
Car B,8,0.5333,1,0.23,1,0.23,1.423,1.423,0.841,1.4366,-0.199,1.0,-1.0,-25.0,0.004
Car A,9,0.6,1,0.284,1,0.284,-1.405,-1.405,0.9354,1.5425,0.2299,1.0,1.0,25.0,-0.004
Car B,9,0.6,1,0.289,1,0.289,1.403,1.403,0.9375,1.4477,-0.2398,1.0,-1.0,-25.0,0.004
Car A,10,0.6667,1,0.349,1,0.349,-1.383,-1.383,1.0418,1.5956,0.2764,1.0,1.0,25.0,-0.004
