car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car A,0,0.0,1,2.0,1,2.0,-1.5,-1.5,0.0005,0.0,0.0,1.0,1.0,0.0,2.0
Car B,0,0.0,1,0.0,1,0.0,1.5,1.5,0.0005,0.0,0.0,1.0,-1.0,0.0,-2.0
Car A,1,0.0667,1,2.003,1,2.003,-1.497,-1.497,0.0657,0.9781,0.0063,1.0,1.0,24.962,2.0
Car B,1,0.0667,1,0.003,1,0.003,1.496,1.496,0.065,0.967,-0.0063,0.4525,-1.0,-24.962,-2.0
Car A,2,0.1333,1,2.013,1,2.013,-1.49,-1.49,0.2089,2.1471,0.0243,1.0,1.0,25.0,2.0
Car B,2,0.1333,1,0.013,1,0.014,1.489,1.489,0.2142,2.2382,-0.0285,0.9174,-1.0,-25.0,-2.0
Car A,3,0.2,1,2.032,1,2.032,-1.485,-1.485,0.3256,1.7513,0.0334,0.9951,1.0,25.0,2.0
Car B,3,0.2,1,0.032,1,0.032,1.483,1.483,0.3303,1.7413,-0.0363,1.0,-1.0,-25.0,-2.0
Car A,4,0.2667,1,2.058,1,2.058,-1.477,-1.477,0.4284,1.5419,0.0556,0.928,1.0,25.0,1.999
Car B,4,0.2667,1,0.059,1,0.059,1.476,1.476,0.4421,1.6775,-0.0636,0.802,-1.0,-25.0,-1.999
Car A,5,0.3333,1,2.09,1,2.09,-1.468,-1.468,0.527,1.4796,0.081,0.9951,1.0,25.0,1.998
Car B,5,0.3333,1,0.092,1,0.092,1.466,1.466,0.546,1.5589,-0.0935,1.0,-1.0,-25.0,-1.998
Car A,6,0.4,1,2.129,1,2.129,-1.457,-1.457,0.6233,1.4443,0.1087,1.0,1.0,25.0,1.996
Car B,6,0.4,1,0.132,1,0.132,1.454,1.454,0.6442,1.4719,-0.1279,1.0,-1.0,-25.0,-1.996
Car A,7,0.4667,1,2.173,1,2.173,-1.444,-1.444,0.7218,1.4776,0.1414,1.0,1.0,25.0,1.995
Car B,7,0.4667,1,0.178,1,0.178,1.439,1.439,0.742,1.4672,-0.1621,0.974,-1.0,-25.0,-1.995
Car A,8,0.5333,1,2.224,1,2.224,-1.429,-1.429,0.823,1.5178,0.1793,1.0,1.0,25.0,1.994
Car B,8,0.5333,1,0.23,1,0.23,1.422,1.422,0.8382,1.443,-0.1967,0.4701,-1.0,-25.0,-1.994
Car A,9,0.6,1,2.282,1,2.282,-1.411,-1.411,0.9262,1.5485,0.2232,1.0,1.0,25.0,1.993
Car B,9,0.6,1,0.289,1,0.289,1.404,1.404,0.9377,1.4934,-0.2281,0.4512,-1.0,-25.0,-1.993
Car A,10,0.6667,1,2.346,1,2.346,-1.39,-1.39,1.031,1.5719,0.2732,1.0,1.0,25.0,1.993
Car B,10,0.6667,1,0.353,1,0.353,1.382,1.382,1.0306,1.3925,-0.2734,0.7681,-1.0,-25.0,-1.993
Car A,11,0.7333,1,2.416,1,2.416,-1.366,-1.366,1.1386,1.6128,0.3275,1.0,1.0,25.0,1.994
Car B,11,0.7333,1,0.422,1,0.422,1.357,1.357,1.1241,1.4024,-0.3309,0.8942,-1.0,-25.0,-1.994
Car A,12,0.8,1,2.493,1,2.493,-1.337,-1.337,1.2474,1.6325,0.3905,1.0,1.0,25.0,1.995
Car B,12,0.8,1,0.498,1,0.498,1.329,1.329,1.223,1.4842,-0.3905,0.9902,-1.0,-25.0,-1.995
Car A,13,0.8667,1,2.576,1,2.576,-1.305,-1.305,1.3573,1.6483,0.4624,1.0,1.0,25.0,1.997
Car B,13,0.8667,1,0.579,1,0.579,1.296,1.296,1.3264,1.5507,-0.4504,1.0,-1.0,-25.0,-1.997
Car A,14,0.9333,1,2.665,1,2.665,-1.268,-1.268,1.4708,1.7023,0.5331,1.0,1.0,25.0,1.999
Car B,14,0.9333,1,0.666,1,0.666,1.26,1.26,1.4371,1.6607,-0.5138,1.0,-1.0,-25.0,-1.999
Car A,15,1.0,1,2.761,1,2.761,-1.226,-1.226,1.584,1.6992,0.6178,1.0,1.0,25.0,2.002
Car B,15,1.0,1,0.759,1,0.759,1.217,1.217,1.5465,1.6411,-0.5952,1.0,-0.6345,-25.0,-2.002
Car A,16,1.0667,1,2.862,1,2.862,-1.178,-1.178,1.6957,1.6748,0.7085,1.0,0.6812,25.0,2.004
Car B,16,1.0667,1,0.859,1,0.859,1.173,1.173,1.6676,1.816,-0.4604,1.0,-0.1344,-15.876,-2.004
Car A,17,1.1333,1,2.97,1,2.971,-1.128,-1.128,1.8212,1.8827,0.5576,1.0,0.6024,17.042,2.004
Car B,17,1.1333,1,0.967,1,0.967,1.131,1.131,1.7624,1.4223,-0.2385,1.0,-0.0477,-3.379,-2.004
Car A,18,1.2,1,3.087,1,3.087,-1.076,-1.076,1.9493,1.922,0.5679,1.0,0.3541,15.063,2.003
Car B,18,1.2,1,1.084,1,1.084,1.096,1.096,1.8827,1.8039,-0.0454,1.0,0.0722,-1.197,-2.003
Car A,19,1.2667,1,3.211,1,3.211,-1.023,-1.023,2.0688,1.7917,0.4005,1.0,0.3448,8.863,2.001
Car B,19,1.2667,1,1.21,1,1.21,1.061,1.061,2.0094,1.9018,0.0695,1.0,0.2228,1.799,-2.001
Car A,20,1.3333,1,3.344,1,3.344,-0.967,-0.967,2.2055,2.0511,0.4247,1.0,0.3396,8.619,1.999
Car B,20,1.3333,1,1.345,1,1.345,1.029,1.029,2.1251,1.7353,0.2596,1.0,0.5487,5.563,-1.999
Car A,21,1.4,1,3.484,1,3.484,-0.906,-0.906,2.3396,2.0106,0.4694,1.0,0.3308,8.49,1.997
Car B,21,1.4,1,1.488,1,1.488,1.002,1.002,2.1963,1.0672,0.5776,1.0,0.2582,13.706,-1.997
Car A,22,1.4667,1,3.632,1,3.632,-0.84,-0.84,2.4738,2.0133,0.5089,1.0,0.2886,8.269,1.995
Car B,22,1.4667,1,1.637,1,1.637,0.978,0.978,2.3035,1.6078,0.3815,1.0,0.2941,6.467,-1.995
Car A,23,1.5333,1,3.787,1,3.787,-0.769,-0.769,2.6097,2.0392,0.5148,1.0,0.1607,7.217,1.993
Car B,23,1.5333,1,1.794,1,1.794,0.951,0.951,2.4389,2.0312,0.446,1.0,-0.1407,7.35,-1.993
