car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car A,0,0.0,1,0.0,1,0.0,1.5,1.5,0.0005,0.0,0.0,1.0,-1.0,0.0,0.0
Car B,0,0.0,1,0.0,1,0.0,-1.5,-1.5,0.0005,0.0,-0.0,1.0,1.0,0.0,0.0
Car A,1,0.0667,1,0.004,1,0.004,1.497,1.497,0.0735,1.0943,-0.0055,1.0,-1.0,-24.962,0.001
Car B,1,0.0667,1,0.003,1,0.003,-1.496,-1.496,0.0615,0.9144,0.0067,1.0,1.0,24.962,-0.001
Car A,2,0.1333,1,0.014,1,0.014,1.493,1.493,0.2109,2.0609,-0.0152,1.0,-1.0,-25.0,0.002
Car B,2,0.1333,1,0.012,1,0.013,-1.488,-1.488,0.2007,2.0879,0.0315,1.0,1.0,25.0,-0.002
Car A,3,0.2,1,0.033,1,0.033,1.488,1.488,0.328,1.7576,-0.0363,1.0,-1.0,-25.0,0.002
Car B,3,0.2,1,0.031,1,0.031,-1.481,-1.481,0.3341,2.0022,0.0355,1.0,1.0,25.0,-0.002
Car A,4,0.2667,1,0.059,1,0.059,1.481,1.481,0.4413,1.6985,-0.0638,1.0,-1.0,-25.0,0.002
Car B,4,0.2667,1,0.058,1,0.058,-1.473,-1.473,0.4381,1.5599,0.0588,1.0,1.0,25.0,-0.002
Car A,5,0.3333,1,0.093,1,0.093,1.471,1.471,0.5483,1.6051,-0.0945,1.0,-1.0,-25.0,0.002
Car B,5,0.3333,1,0.09,1,0.09,-1.464,-1.464,0.5365,1.4754,0.0834,1.0,1.0,25.0,-0.002
Car A,6,0.4,1,0.133,1,0.133,1.459,1.459,0.6491,1.5125,-0.1296,1.0,-1.0,-25.0,0.004
Car B,6,0.4,1,0.129,1,0.13,-1.452,-1.452,0.6333,1.4517,0.1124,1.0,1.0,25.0,-0.004
Car A,7,0.4667,1,0.18,1,0.18,1.444,1.444,0.7464,1.4589,-0.1649,1.0,-1.0,-25.0,0.005
Car B,7,0.4667,1,0.175,1,0.175,-1.439,-1.439,0.7324,1.4876,0.1446,1.0,1.0,25.0,-0.005
Car A,8,0.5333,1,0.232,1,0.232,1.428,1.428,0.8425,1.4428,-0.1993,1.0,-1.0,-25.0,0.005
Car B,8,0.5333,1,0.227,1,0.227,-1.423,-1.423,0.8339,1.5215,0.1831,1.0,1.0,25.0,-0.005
Car A,9,0.6,1,0.29,1,0.29,1.409,1.409,0.9392,1.4497,-0.2383,1.0,-1.0,-25.0,0.006
Car B,9,0.6,1,0.285,1,0.285,-1.405,-1.405,0.9366,1.5403,0.2298,1.0,1.0,25.0,-0.006
Car A,10,0.6667,1,0.355,1,0.355,1.387,1.387,1.0373,1.4719,-0.2829,1.0,-1.0,-25.0,0.006
