swap,seed,dxA,dxB,leader_label,leader_spot,margin_100,margin_200,margin_final,lead_changes,first_leader_label,min_dist250,contact_steps
0,0,0.021,0.104,B,inside,-0.98,13.19,17.37,0,B,1.46,0
0,1,0.113,-0.484,A,outside,-7.45,-9.47,-13.73,0,A,2.21,0
0,2,-0.119,-0.143,A,outside,-7.03,-5.32,-10.28,0,A,1.85,0
0,3,-0.312,-0.243,A,outside,-1.14,-2.80,-9.52,0,A,1.41,0
0,4,-0.499,-0.370,B,inside,7.64,11.14,14.02,0,B,1.75,0
0,5,-0.418,0.431,B,inside,6.04,8.91,10.36,0,B,2.25,0
0,6,-0.163,0.101,B,inside,6.70,9.90,13.06,0,B,1.78,0
0,7,-0.429,0.316,B,inside,6.62,9.28,15.30,0,B,2.18,0
0,8,-0.333,0.313,B,inside,6.65,9.08,13.50,0,B,2.06,0
0,9,-0.443,-0.173,B,inside,7.78,10.86,12.86,0,B,1.79,0
0,10,-0.405,0.036,B,inside,7.03,10.67,13.86,0,B,1.81,0
0,11,-0.216,0.063,B,inside,6.95,10.76,11.81,0,B,1.77,0
1,0,0.021,0.104,A,inside,0.83,-7.87,-12.74,0,A,1.70,0
1,1,0.113,-0.484,A,inside,-7.19,-11.76,-15.41,0,A,1.89,0
1,2,-0.119,-0.143,B,outside,6.16,8.47,12.92,0,B,1.85,0
1,3,-0.312,-0.243,B,outside,7.25,8.60,12.46,0,B,1.84,0
1,4,-0.499,-0.370,B,outside,6.80,9.28,13.34,0,B,1.83,0
1,5,-0.418,0.431,B,outside,6.48,9.20,14.25,0,B,2.34,0
1,6,-0.163,0.101,B,outside,5.86,8.72,11.99,0,B,1.80,0
1,7,-0.429,0.316,B,outside,5.95,8.72,12.98,0,B,2.28,0
1,8,-0.333,0.313,B,outside,6.06,8.06,12.26,0,B,2.12,0
1,9,-0.443,-0.173,A,inside,0.85,-10.10,-12.89,0,A,1.60,0
1,10,-0.405,0.036,B,outside,6.33,9.40,12.41,0,B,1.84,0
1,11,-0.216,0.063,B,outside,5.47,4.53,10.68,0,B,1.80,0
