swap,seed,dxA,dxB,leader_label,leader_spot,margin_100,margin_200,margin_final,lead_changes,first_leader_label,min_dist250,contact_steps
0,0,0.021,0.104,B,inside,9.05,10.31,11.22,0,B,1.67,0
0,1,0.113,-0.484,A,outside,0.23,-1.90,-3.40,0,A,1.47,0
0,2,-0.119,-0.143,B,inside,8.77,9.13,11.39,0,B,1.69,0
0,3,-0.312,-0.243,B,inside,9.41,10.96,10.80,0,B,1.74,0
0,4,-0.499,-0.370,B,inside,8.02,10.83,11.39,0,B,1.72,0
0,5,-0.418,0.431,B,inside,7.34,8.48,10.37,0,B,1.77,0
0,6,-0.163,0.101,B,inside,9.08,9.28,9.90,0,B,1.75,0
0,7,-0.429,0.316,B,inside,9.56,10.79,9.64,0,B,1.71,0
0,8,-0.333,0.313,B,inside,20.66,23.63,23.54,0,B,1.71,0
0,9,-0.443,-0.173,B,inside,5.23,4.45,6.72,0,B,1.96,0
0,10,-0.405,0.036,B,inside,21.13,23.92,23.91,0,B,1.85,0
0,11,-0.216,0.063,B,inside,7.18,9.14,10.01,0,B,1.96,0
1,0,0.021,0.104,A,inside,-9.11,-10.70,-11.09,0,A,1.68,0
1,1,0.113,-0.484,A,inside,-6.80,-7.38,-9.63,0,A,1.95,0
1,2,-0.119,-0.143,A,inside,-9.26,-11.24,-11.18,0,A,1.73,0
1,3,-0.312,-0.243,A,inside,-8.55,-10.20,-10.06,0,A,1.69,0
1,4,-0.499,-0.370,A,inside,-8.63,-9.55,-10.13,0,A,1.67,0
1,5,-0.418,0.431,B,outside,-0.55,-7.96,38.16,1,A,1.48,0
1,6,-0.163,0.101,B,outside,0.48,3.69,8.00,0,B,1.44,0
1,7,-0.429,0.316,A,inside,-0.49,10.04,-40.18,1,B,1.47,0
1,8,-0.333,0.313,B,outside,-0.03,2.12,6.76,0,B,1.46,0
1,9,-0.443,-0.173,B,outside,4.36,8.47,10.60,0,B,1.72,0
1,10,-0.405,0.036,B,outside,0.11,1.13,4.56,0,B,1.46,0
1,11,-0.216,0.063,A,inside,0.85,-8.44,-10.38,0,A,1.56,0
