#{"t_start": 1789576586.0740266, "env_id": "None"}
r,l,t
-443.990986,263,6.965199
-59.489942,64,7.747497
-308.414968,500,13.920432
-54.044001,56,14.67818
-52.838664,54,15.335218
-47.771352,61,16.064863
-45.668885,45,16.614121
-55.05675,69,17.454653
-117.48835,91,18.550256
-44.557913,49,19.129109
-53.120522,43,19.644602
-48.253584,40,20.128579
-46.242179,44,20.681567
-151.720495,127,22.209856
-515.267541,500,28.198947
-65.146444,86,30.549356
-45.134936,44,31.071496
-45.288299,44,31.595646
-562.760769,500,37.511662
-65.976007,61,38.273336
-54.846086,51,38.877367
-55.468865,51,39.470645
-51.65964,77,40.380738
-45.288966,44,40.931796
-45.715881,44,41.47953
-50.981038,46,42.073896
-117.240733,106,43.327302
-50.440154,45,43.845444
-397.27633,284,47.099383
-45.706921,46,47.631011
-42.116623,60,48.319322
-41.678839,60,49.007886
-48.236854,50,49.58502
-54.075172,55,50.223832
-43.358406,53,50.83498
-45.99404,44,51.34517
-107.687683,100,52.49075
-112.518033,81,53.420395
-103.351153,122,56.154908
-52.412083,56,56.797153
-53.489194,43,57.295774
-50.986902,65,58.07998
-52.034903,61,58.790891
-48.852814,48,59.344734
-53.185238,55,59.978832
-121.852542,110,61.23115
-44.334268,48,61.783109
-57.429259,57,62.43585
-123.933622,201,64.731046
-44.869036,45,65.248484
-45.947686,51,65.833592
-110.828375,99,66.967103
-46.542455,41,67.437412
-649.042819,500,73.308427
-44.106179,44,73.813827
-169.047851,145,75.475728
-65.441933,47,76.018927
-45.596639,56,76.667393
-385.887127,500,83.719707
-45.699119,45,84.243357
-117.875074,122,85.639423
-110.798424,89,86.659255
-52.769519,50,87.230113
-47.73763,50,87.811219
-44.880534,44,88.319305
-67.521787,53,88.930708
-45.104228,48,89.481759
-542.622785,430,94.391675
-46.473491,45,94.90869
-52.819505,48,95.458891
-51.651495,46,95.985585
-44.71913,69,96.778232
-45.771139,46,97.308098
-42.512576,59,97.985307
-44.073063,53,98.592861
-46.837261,46,99.120624
-51.692703,44,99.627601
-592.147669,500,106.822345
-51.566157,41,107.298836
-44.35829,45,107.815647
-192.650795,155,109.601125
-110.009256,87,110.599766
-285.671297,270,113.696815
-43.081626,74,114.5509
-46.518612,46,115.083473
-46.89726,65,115.829034
-48.314488,46,116.360629
-170.178642,161,118.203762
-47.250488,49,118.76579
-45.945847,66,119.526703
-701.274726,500,125.160743
-305.313714,196,127.385628
-53.373779,49,127.946979
-408.502781,361,133.518249
-58.520818,53,134.129074
-45.815455,84,135.096082
-48.833862,46,135.626012
-51.17146,54,136.247332
-64.240562,61,136.952743
-51.591669,43,137.449739
-45.293248,47,137.993638
-146.607132,141,139.616497
-160.634845,138,141.190578
-205.53851,179,143.245561
-46.870447,47,143.78237
-131.629221,140,145.386395
-103.640233,85,146.363003
-57.016212,75,147.22556
-46.040495,43,147.718981
-45.110159,46,148.25037
-45.358343,54,148.866095
-50.118961,45,149.38194
-45.187378,54,150.000514
-54.946503,50,150.571068
-44.586709,61,151.270279
-43.493615,61,151.967664
-60.754049,45,152.48557
-44.839155,51,153.071627
-174.106327,172,156.372526
-98.581429,64,157.110837
-50.680341,46,157.638292
-54.645656,57,158.291449
-43.528537,55,158.920585
-113.25754,86,159.902297
-47.594537,46,160.432182
-45.581291,52,161.036896
-51.589189,50,161.658479
-59.459158,49,162.268321
-44.825507,41,162.769423
-58.85868,54,163.396131
-51.651205,45,163.919773
-65.684542,50,164.495255
-44.423365,42,164.985154
-61.236606,45,165.506257
-566.296715,500,171.249281
-51.761854,45,171.769045
-485.223652,409,176.49891
-56.813512,51,177.083442
-45.728874,49,177.646865
-687.5281,500,184.675296
-45.248464,44,185.195351
-45.951058,48,185.7564
-45.925093,50,186.329798
-58.078395,47,186.872777
-46.928857,45,187.38712
-629.298542,500,193.254055
-169.840823,152,195.002553
-153.589235,141,196.630007
-121.155274,122,198.037731
-50.399293,65,198.780835
-240.028514,168,200.698755
-46.390784,44,201.205351
-46.920185,45,201.725085
-46.098156,45,202.242226
-49.674579,46,202.777325
-193.836924,143,205.798682
-45.014364,47,206.33657
-45.167615,42,206.818257
-69.282974,56,207.460867
-44.204056,44,207.965316
-67.25098,63,208.687002
-231.969528,151,210.411133
-98.102331,63,211.129731
-46.143025,44,211.633101
-59.014937,69,212.466079
-47.04959,45,213.008617
-59.347337,46,213.541636
-136.063159,95,214.631177
-45.44209,51,215.218262
-45.727828,48,215.770718
-60.50001,48,216.380899
-60.011951,55,217.040221
-44.800944,55,217.710393
-46.296679,48,218.265381
-56.523956,43,218.759771
-45.641443,44,219.262655
-45.750691,50,219.836496
-375.426933,213,222.38241
-45.377473,44,222.910128
-47.267083,45,223.43671
-636.050985,500,230.548464
-44.909116,48,231.103316
-44.95393,55,231.739324
-46.002148,49,232.302544
-72.511542,56,232.947776
-57.357369,61,233.653775
-47.924239,45,234.172103
-46.627424,51,234.761568
-45.324502,48,235.310546
-49.944004,40,235.768427
-49.21257,43,236.259244
-109.608192,93,237.32217
-49.025796,46,237.852009
-55.60063,43,238.346061
-49.737639,50,238.916694
-44.997772,45,239.436908
-45.813673,69,240.224725
-52.140911,42,240.708626
-50.65998,49,241.269067
-63.159389,49,241.83177
-42.257529,62,242.540543
-87.283552,58,243.204428
-45.649126,45,243.718944
-110.599313,98,244.834396
-98.058226,64,245.567096
-970.921587,500,251.304933
-47.112009,47,251.895195
-60.375161,56,252.577773
-49.507558,40,253.048732
-52.521399,52,253.648966
-68.446549,73,255.822706
-100.641041,90,256.858315
-162.073738,146,258.555471
-45.546694,45,259.09834
-47.331714,45,259.635375
-47.107148,55,260.285419
-45.670618,52,260.900595
-55.094562,57,261.57849
-64.710838,97,262.793541
-41.453821,61,263.568954
-47.110924,44,264.07391
-45.196308,47,264.61482
-107.529427,68,265.393125
-54.558005,50,265.965634
-66.893095,62,266.675368
-78.296515,54,267.292887
-132.600038,125,268.715347
-45.699759,44,269.221795
-122.026403,122,270.612792
-283.572708,500,276.333038
-42.911285,55,276.969769
-55.451837,53,277.576766
-46.57808,40,278.038005
-58.770488,52,278.635052
-65.987734,56,280.775629
-53.348289,45,281.325316
-45.065896,46,281.903038
-544.846936,500,287.709862
-137.971952,110,288.964647
-41.995026,67,289.731353
-48.795575,42,290.216163
-194.433463,153,291.964698
-63.49446,57,292.617654
-46.180483,44,293.128028
-43.68032,46,293.657422
-44.294835,60,294.341023
-54.389094,57,294.995236
-65.857209,58,295.65749
-66.411418,62,296.367903
-55.652784,58,297.033139
-107.165483,118,298.376194
-45.877172,46,298.903104
-49.788669,46,299.429512
-70.25919,57,300.081947
-45.833527,50,300.655905
-60.132175,55,301.284529
-613.619025,290,305.889365
-660.19177,500,311.654448
-45.25176,44,312.209984
-54.665309,51,312.829935
-71.24658,50,313.403877
-52.521519,56,314.047401
-48.465939,48,314.60172
-43.796062,50,315.175441
-56.528008,48,315.728082
-53.270317,51,316.314414
-52.705246,48,316.869611
-116.152726,115,318.186339
-176.228122,140,319.785211
-45.977282,40,320.245223
-47.252802,46,320.777855
-50.007902,46,321.307503
-44.555601,59,321.984983
-45.63396,49,322.545441
-43.147086,64,323.277987
-53.81106,48,323.829254
-47.164563,48,324.378737
-45.628056,50,324.947725
-46.356114,53,325.556801
-563.222002,500,332.536869
-45.657411,45,333.052108
-212.452394,155,334.818208
-669.178913,500,340.532369
-45.918894,54,341.169714
-49.416816,50,341.788254
-50.159325,50,342.403716
-44.722027,51,343.014719
-45.171808,49,343.57555
-56.902055,53,344.184884
-738.542216,433,349.137221
-624.147431,500,356.113429
-316.452196,160,357.939155
-43.554463,44,358.445584
-51.169573,41,358.92151
-46.649111,45,359.462623
-46.715953,45,359.999156
-46.529284,51,360.593476
-45.166572,45,361.1118
-44.552732,58,361.773915
-48.547555,47,362.341083
-43.054345,59,363.036067
-43.90051,47,363.586947
-124.146862,118,365.001791
-59.877672,50,365.594554
-44.969086,44,366.121871
-103.415483,66,366.910307
-48.800329,47,367.46663
-86.576559,59,368.159256
-45.298517,52,368.787134
-52.080299,41,369.303864
-66.208099,74,370.181422
-429.147717,209,372.792178
-51.411992,56,373.464863
-46.536616,45,373.996974
-542.808904,500,381.321804
-44.125122,46,381.88215
-45.620542,48,382.499894
-45.508669,50,383.124945
-45.017924,41,383.609587
-46.189676,46,384.163416
-47.321482,54,384.796348
-44.700367,60,385.502136
-45.790992,45,386.031257
-44.721176,52,386.644612
-43.319376,59,387.337544
-537.137321,500,393.183766
-57.711397,52,393.797035
-167.489656,133,395.356637
-44.232198,52,395.97111
-45.317473,53,396.601438
-41.330953,62,397.339585
-46.598451,46,397.882911
-52.809328,59,398.591554
-63.4045,68,399.416502
-52.151495,48,399.997006
-45.178729,55,400.657077
-46.158884,48,401.251719
-204.149089,168,403.432626
-64.809546,60,404.165449
-44.461812,49,404.751812
-56.557107,67,406.925708
-47.764134,46,407.475063
-57.162349,58,408.161471
-44.158938,59,408.868016
-69.839675,66,409.649928
-56.496181,57,410.316271
-199.48187,138,411.942539
-44.108798,57,412.616952
-57.762063,58,413.30502
-53.017322,54,413.966189
-136.564773,103,415.171116
-52.849093,63,415.892537
-53.257517,56,416.548371
-522.21219,500,422.251991
-48.753785,49,422.812472
-45.293947,51,423.403138
-44.714447,51,423.982635
-46.169008,41,424.456541
-44.412088,62,425.174604
-113.865732,121,426.567364
-107.666636,105,427.769528
-131.743711,118,429.1278
-50.421545,41,429.603317
-98.517263,102,432.282666
-54.84292,45,432.839599
-47.465206,45,433.378505
-62.465713,53,434.003066
-58.371263,49,434.598576
-45.520271,51,435.204565
-51.407515,64,435.954813
-45.578737,49,436.54226
-46.604469,52,437.154585
-82.285986,81,438.102777
-308.612707,500,443.974365
-61.726101,59,444.722451
-45.580762,56,445.43398
-46.121646,47,446.007722
-63.63389,51,446.624983
-295.694833,500,452.756535
-46.261263,50,453.353613
-40.950307,57,454.041992
-50.162143,44,454.577293
-54.935641,43,455.094399
-242.082889,205,458.897371
-73.559537,70,459.757957
-51.179825,49,460.358454
-46.398081,47,460.913185
-104.225909,97,462.171728
-50.445281,54,462.880241
-46.314598,44,463.416607
-45.8755,44,463.945269
-733.522765,500,469.941932
-45.201951,50,470.567504
-44.447127,48,471.163153
-53.681535,46,471.70785
-43.725343,59,472.393432
-49.610623,47,472.944165
-719.693114,500,478.806647
-50.349895,55,479.448597
-46.973459,47,479.997735
-37.422903,68,480.78127
-349.562245,226,484.756099
-41.471357,63,485.514078
-48.295911,46,486.057862
-67.738938,72,486.899135
-39.242349,60,487.594764
-44.872437,46,488.126181
-56.502839,52,488.726979
-39.194233,58,489.395501
-68.426801,58,490.06336
-50.144034,46,490.60472
-51.864115,43,491.107873
-46.845263,46,491.686469
-49.604148,59,492.403845
-46.839095,45,492.936799
-111.049314,99,494.073347
-47.544341,46,494.605059
-286.029119,150,496.327498
-96.614609,110,497.587092
-48.256878,42,498.068715
-46.548909,53,498.675214
-40.377917,63,499.397043
-44.704298,59,500.071274
-54.537776,49,500.633713
-46.880727,44,501.135236
-46.926194,45,501.664153
-43.361169,53,502.283831
-340.490803,218,504.782839
-226.396971,122,506.175795
-45.26692,44,506.682273
-73.124649,88,509.005716
-51.085206,45,509.527128
-48.955512,44,510.030123
-41.649174,63,510.75345
-62.367281,57,511.40405
-41.980381,54,512.021603
-45.601643,42,512.503098
-52.706798,48,513.060244
-48.971276,41,513.534271
-59.050517,51,514.127396
-55.424692,47,514.674354
-46.203179,55,515.313779
-51.985495,44,515.824353
-61.463545,59,516.514909
-81.976074,90,517.564762
-46.94883,47,518.106941
-48.260338,59,518.789372
-48.624072,46,519.322943
-42.853977,51,519.909716
-48.863238,51,520.494631
-44.873096,46,521.030429
-44.353791,45,521.597019
-45.991451,45,522.146662
-713.726882,500,527.99288
-46.113783,42,528.476119
-76.046979,53,529.091726
-46.7546,48,529.64094
-614.235238,500,536.687953
-46.678754,44,537.194921
-46.034581,50,537.774511
-58.088046,49,538.343651
-46.143477,57,539.001054
-71.647399,63,539.734319
-37.409572,66,540.492302
-46.342939,43,540.984173
-46.644645,44,541.492856
-55.622242,56,542.143752
-46.098504,48,542.700948
-53.771036,49,543.269926
-49.289667,53,543.878033
-48.160075,46,544.411168
-51.956634,50,544.992949
-55.242667,58,545.674461
-41.225654,60,546.410913
-46.914172,46,546.984466
-46.376098,46,547.51941
-46.614731,47,548.070059
-46.305064,54,548.693394
-52.948567,60,549.383997
-317.430564,500,555.253519
-59.671383,51,555.839198
-162.599748,91,556.88241
-45.317634,47,557.424014
-52.916367,50,559.325
-46.891256,46,559.901388
-42.135433,61,560.62076
-47.096183,60,561.324069
-293.701067,152,563.113747
-51.817752,50,563.700902
-624.753156,500,569.545821
-44.504321,48,570.15152
-44.914349,50,570.751842
-46.590716,48,571.324718
-545.768239,500,577.223686
-47.103661,51,577.826009
-47.874487,56,578.480001
-45.899304,47,579.031788
-52.373414,55,579.676323
-51.784315,47,580.249287
-77.941574,77,581.185779
-46.127867,48,581.805189
-64.500704,51,582.45493
-61.924135,46,583.021154
-40.630554,62,585.128871
-43.97366,61,585.846387
-58.597212,50,586.433099
-54.457064,49,587.007275
-63.734439,52,587.624578
-47.605377,43,588.134094
-48.692463,45,588.673041
-310.207628,188,590.904603
-96.469947,61,591.62524
-41.136123,67,592.429837
-147.580313,126,593.945482
-98.829565,90,595.025117
-47.289495,47,595.581362
-49.254478,41,596.069978
-291.464085,500,602.042207
-56.382446,53,602.670728
-46.837783,51,603.281216
-666.397906,500,610.478109
-83.048163,55,611.128665
-54.666876,55,611.815091
-46.878601,48,612.410552
-65.837357,50,613.007034
-40.901213,62,613.722418
-54.820999,53,614.328239
-49.494489,46,614.859464
-48.524049,45,615.379982
-58.688617,53,615.988029
-50.155512,45,616.499462
-45.972767,44,617.006914
-46.469473,47,617.545305
-46.982768,42,618.028957
-60.265918,48,618.582476
-42.135702,64,619.311849
-62.527775,64,620.047088
-51.821725,46,620.57798
-61.161886,53,621.185036
-134.09675,117,622.51737
-212.964001,143,624.136936
-447.52688,500,629.834469
-48.069468,51,630.421281
-45.707631,44,630.929212
