#{"t_start": 1789589511.7280865, "env_id": "None"}
r,l,t
-262.602837,352,7.742505
-80.754479,84,8.736128
-170.370023,132,10.292301
-47.454323,39,10.759269
-615.604852,479,16.374624
-76.458497,62,17.296318
-48.454191,39,17.7651
-175.903045,103,19.030909
-73.917033,54,19.730196
-139.829125,101,20.961654
-76.698381,81,21.91698
-101.005873,108,23.185239
-249.623395,222,25.969404
-685.353975,500,33.068323
-227.378994,248,35.928566
-47.468576,41,36.411992
-53.021228,47,36.956456
-80.347747,62,37.679725
-51.504098,46,38.212743
-44.167403,43,38.715653
-80.293091,57,39.381737
-75.316489,61,40.091802
-84.749745,69,40.895782
-52.475858,53,41.516264
-89.036693,68,42.306749
-78.858227,68,43.101632
-81.8048,80,44.028379
-297.265881,241,46.835547
-225.273719,117,48.199891
-40.526423,63,48.994259
-74.228766,56,49.688239
-81.333205,56,50.365346
-1080.783229,500,57.502322
-55.577646,51,58.101599
-48.417916,42,58.592182
-40.228959,62,59.31226
-121.658604,130,60.822184
-65.04402,54,61.448476
-48.239023,41,61.926542
-96.756579,63,62.656564
-77.590148,59,63.343344
-219.042971,189,65.532037
-47.410291,39,65.989892
-76.87757,57,66.656571
-128.839053,156,68.464924
-757.962988,500,74.255869
-39.16388,69,75.061869
-52.09864,46,75.604573
-44.676434,40,76.075365
-46.155458,41,76.553437
-268.364746,161,78.432216
-135.394854,110,81.248533
-166.861261,111,82.544214
-108.14904,82,83.501829
-91.801123,142,85.161595
-92.636641,62,85.88952
-312.094448,384,90.393672
-47.608299,40,90.861776
-56.058564,47,91.411841
-115.486038,84,92.38906
-367.533516,500,98.180688
-413.86934,312,101.788868
-41.390487,62,102.513176
-121.58731,107,103.753141
-46.505447,39,105.509366
-90.946501,110,106.79042
-51.264672,40,107.261176
-82.050703,89,108.299865
-48.963075,41,108.810108
-279.579217,240,111.687136
-103.11808,86,112.695858
-51.152948,44,113.209751
-78.093992,60,113.908478
-46.812735,39,114.365984
-49.235568,41,114.841335
-475.60416,500,120.62853
-45.369968,46,121.165018
-48.232122,39,121.62313
-200.094051,114,122.945735
-154.986616,114,124.261956
-47.956269,40,124.735056
-75.503995,55,125.373771
-98.317385,76,126.256375
-54.505945,61,126.963243
-249.058277,200,130.592811
-47.512512,39,131.052685
-118.630913,96,132.168468
-45.302044,41,132.649357
-74.840691,57,133.314743
-114.049852,94,134.420461
-57.152462,47,134.969674
-45.368556,40,135.438084
-73.62985,52,136.045153
-46.012284,40,136.516115
-44.700058,41,136.998601
-177.309122,200,139.402442
-48.004776,42,139.930302
-240.993173,227,142.578339
-560.750346,500,148.355762
-55.055361,47,148.905123
-294.579496,255,151.849069
-44.60859,41,152.331005
-448.293019,500,159.432365
-49.47974,59,160.130929
-206.136846,500,165.924312
-310.160985,498,171.886415
-39.514833,64,172.641314
-235.886274,191,174.854563
-311.366232,306,178.399367
-331.552032,361,184.221064
-53.817509,42,184.711959
-46.859945,43,185.216372
-41.21907,55,185.854584
-47.470219,41,186.334569
-51.507679,45,186.857929
-47.342947,51,187.455
-200.068501,147,189.158511
-283.914059,500,194.974794
-121.439273,91,196.034631
-235.800512,258,199.140182
-133.442008,158,201.034994
-205.688996,151,202.783586
-52.199933,43,203.287342
-44.864943,41,203.766089
-130.871485,131,205.289165
-865.711536,500,212.449207
-530.587222,500,218.274844
-539.114581,500,224.092362
-57.012383,45,224.619602
-47.033518,39,225.079009
-138.131692,113,226.399481
-307.9965,500,233.635822
-119.882465,91,234.69416
-73.281734,55,235.333388
-53.327453,44,235.846768
-121.279675,139,237.455751
-61.355715,48,238.016754
-165.24951,144,239.684715
-45.814676,40,240.152036
-189.862428,205,242.523115
-150.876302,119,243.897542
-89.130506,65,244.649253
-46.282813,41,245.127097
-525.477497,500,250.920845
-46.889761,41,251.402383
-72.354189,172,253.409871
-47.554199,41,253.890313
-253.973116,173,257.254229
-56.304084,46,257.79426
-269.455864,171,259.885694
-75.184069,52,260.514489
-73.327085,54,261.147895
-46.892099,39,261.606446
-49.133728,43,262.106273
-114.365914,74,262.995065
-158.974639,124,264.479248
-166.089748,193,266.834406
-47.943145,40,267.329185
-47.102955,40,267.799168
-136.920622,273,270.974956
-44.586687,49,271.612947
-581.412816,500,277.627797
-62.081786,48,278.181664
-39.93926,57,278.843437
-47.373857,40,279.312952
-762.265946,500,286.499189
-45.248573,40,286.967017
-57.99034,50,287.546139
-762.938649,500,293.443232
-55.377987,46,293.996726
-49.333507,50,294.595295
-238.966575,245,297.410841
-58.693405,50,297.990082
-48.3261,44,298.502283
-356.196151,336,302.362604
-48.488429,47,302.910773
-47.356052,40,303.37324
-46.805889,39,303.840132
-59.349957,46,304.374872
-643.437678,500,311.492946
-47.247119,40,311.962765
-53.656735,44,312.476906
-43.930722,61,313.185731
-59.404805,48,313.738509
-280.678931,236,316.460632
-50.861273,44,316.986308
-174.627401,111,318.284881
-49.52454,45,318.83149
-46.399958,42,319.37108
-51.996749,52,320.02326
-48.502738,40,320.5036
-39.472967,55,321.143993
-44.508818,45,321.667578
-148.37219,163,323.544228
-51.747191,49,324.115281
-44.862817,42,324.607805
-44.943761,45,325.130056
-45.389785,41,325.605716
-47.041429,42,326.097535
-306.177827,342,330.049476
-225.666121,163,333.29956
-92.793045,92,334.379815
-212.01261,133,335.914084
-40.080372,47,336.457059
-60.774923,50,337.064957
-44.185787,46,337.603132
-47.187993,39,338.059614
-48.156595,42,338.548002
-142.265433,108,339.800998
-201.79557,178,341.866233
-59.427793,46,342.405245
-45.775916,76,343.285558
-47.244112,41,343.767941
-668.982723,500,349.651844
-75.437304,55,350.333056
-53.172617,54,350.960964
-61.217126,48,351.517966
-46.470091,44,352.029284
-45.058043,46,352.564234
-60.539395,48,353.123217
-42.229802,48,353.679685
-115.347902,90,354.718133
-45.334039,40,355.181729
-46.090962,42,355.669635
-43.515847,49,356.237165
-572.269474,500,363.323904
-48.11064,41,363.8013
-127.616913,148,365.506947
-74.698584,53,366.123067
-122.596052,94,367.211542
-264.087363,252,370.156913
-47.827822,41,370.638509
-51.291546,50,371.219409
-591.530349,489,376.872683
-46.038295,39,377.328137
-359.369629,500,384.613062
-74.782342,56,385.263568
-48.832645,39,385.717447
-84.519216,107,386.95153
-44.750177,41,387.425834
-50.440704,48,387.981329
-46.962223,39,388.434067
-48.071549,40,388.901018
-63.653916,63,389.628968
-182.946424,125,391.071042
-144.879354,104,392.269163
-43.877791,48,392.825994
-50.13837,50,393.405486
-379.476735,471,398.840051
-130.737803,171,400.819004
-45.835655,45,401.335915
-44.527693,40,401.810098
-45.559236,42,402.301668
-42.748211,47,402.847401
-63.826885,57,403.511862
-61.078973,47,404.058094
-49.167999,40,404.526794
-44.950995,46,405.065767
-1008.223948,500,412.302449
-34.177413,65,413.060403
-47.229884,39,413.512131
-44.579628,46,414.04593
-170.130924,152,415.801002
-46.252767,40,416.265329
-344.68785,406,420.930377
-59.319602,49,421.497867
-45.525367,41,421.971207
-53.900191,43,422.467739
-86.719532,73,423.323233
-748.140648,500,429.115896
-46.049822,41,429.598571
-48.589942,40,430.068039
-47.976198,40,430.536253
-45.934651,39,430.995791
-47.279472,43,431.499898
-179.061481,156,434.658103
-145.111588,190,436.883931
-50.846066,45,437.405668
-46.453645,44,437.919281
-252.260847,196,440.306211
-48.525185,39,440.757998
-40.495094,50,441.338863
-46.476866,41,441.815145
-52.348377,49,442.383477
-43.320627,47,442.927734
-56.114202,47,443.47272
-39.141701,62,444.192951
-44.330287,66,444.961242
-28.465068,70,445.769907
-67.029451,50,446.347424
-271.539718,254,449.276121
-51.42575,50,449.856736
-55.585501,44,450.370182
-46.187729,39,450.823987
-38.047078,58,451.496827
