#{"t_start": 1789778519.9880123, "env_id": "None"}
r,l,t
6.74671,113,9.809976
5.67581,152,12.642503
21.076075,185,14.386649
23.752687,205,15.375095
45.545227,264,19.140889
50.84027,410,26.930025
23.15696,495,30.896992
124.03153,500,31.157079
126.033005,500,31.157079
162.06474,500,31.157079
33.185055,250,32.713009
85.35836,500,37.38999
95.70174,500,40.262457
7.112211,167,40.996552
47.990925,500,41.861878
174.80408,500,42.805336
-10.411358,74,45.334379
100.489365,500,54.04639
48.033497,426,55.471546
52.606552,373,57.633296
123.74279,500,58.087048
42.38079,500,58.344459
164.31567,500,58.344459
-1.4595509,153,62.162648
9.988691,191,65.352459
1.947712,147,65.470027
178.10568,500,66.371429
144.35202,500,67.916541
177.78915,500,69.818947
-12.235388,107,71.436839
7.1835575,250,71.77654
15.059707,500,72.437918
158.68794,500,85.330855
168.60236,500,85.330855
47.410065,340,85.691702
47.446136,303,88.137847
99.385796,500,89.181514
106.90444,470,91.176677
161.56903,500,93.488154
18.780674,190,96.470814
165.95474,500,96.869736
39.245655,500,98.847116
106.04611,500,99.658499
12.710545,237,102.605577
50.530968,358,107.31078
31.868002,500,113.113764
191.8196,500,113.113764
30.57654,277,114.891482
131.14703,500,118.987775
37.91398,340,120.824211
179.59059,500,121.412238
192.5252,500,124.42522
69.605354,500,124.818105
181.27374,500,126.730239
7.5513916,179,134.538676
139.90955,500,135.276728
71.8893,500,141.051493
188.37663,500,141.051493
57.468197,402,141.307178
166.36165,500,142.840467
56.489838,500,148.885698
185.75644,500,149.609144
23.64343,160,150.008937
145.47017,500,152.634401
131.74615,500,154.868976
-25.086025,74,159.287311
106.58933,500,162.415294
105.24759,500,163.134729
87.83067,500,168.729206
174.68846,500,168.990298
187.37749,500,170.49197
136.75049,500,176.274413
181.96034,500,176.864475
187.46298,500,177.278274
195.04932,500,179.065324
187.96896,500,185.676285
119.945595,500,189.824047
120.55287,500,190.616334
197.13895,500,196.350323
102.03537,500,196.609468
90.521454,500,198.093354
98.938194,500,203.826618
161.84087,500,204.405361
108.0215,500,204.798228
118.71109,500,206.571097
193.893,500,213.166535
130.29994,500,217.233058
152.39294,500,217.959193
191.39677,500,223.748491
140.21794,500,223.995535
126.42289,500,225.518607
185.96603,500,231.514963
172.19612,500,232.098114
119.53536,500,232.494325
178.83911,500,234.219963
171.44234,500,240.781456
80.65774,500,244.849056
154.12708,500,245.564751
115.13574,500,251.328383
108.016716,500,251.591981
189.42953,500,253.18777
169.6823,500,259.005594
222.34422,500,259.583751
181.8089,500,259.97893
181.54407,500,261.775492
189.21638,500,268.37541
104.23993,420,268.37541
192.85559,500,272.350701
175.53973,500,278.709557
166.22305,500,278.975667
110.5365,500,280.522775
192.872,500,286.392849
190.75818,500,286.986687
191.21008,500,287.381419
8.25444,159,287.602422
198.40036,500,289.179578
71.35589,500,295.797261
195.5518,500,295.797261
196.89926,500,299.801802
191.3702,500,305.370681
181.96365,500,307.943275
231.25291,500,313.982566
197.16345,500,314.58636
183.18356,500,314.982706
175.17894,500,315.192203
211.98918,500,316.745307
197.82544,500,323.375914
118.87227,500,323.375914
156.64772,500,326.568188
211.02185,500,332.966186
186.15112,500,335.639795
205.24599,500,340.726291
235.37746,500,342.130479
178.0093,500,342.528439
219.85709,500,342.740931
201.4844,500,344.357669
190.27484,500,351.068816
60.12549,500,351.068816
170.8465,500,354.142303
199.62776,500,360.557436
158.12546,500,363.115263
225.11778,500,368.06361
201.08199,500,368.651368
178.02141,500,370.038495
196.2225,500,370.263458
190.52228,500,371.871928
199.30507,500,378.6128
179.2511,500,378.6133
188.82434,500,381.651395
196.32402,500,387.998855
152.41827,500,389.692728
189.25615,500,395.485785
218.88347,500,396.06848
191.2666,500,396.461431
214.85922,500,396.681413
167.2706,500,399.16095
199.17787,500,405.96839
153.31685,500,405.96839
172.53279,500,409.024668
198.53075,500,415.519775
229.16148,500,417.236526
41.135487,189,419.8465
197.1266,500,422.965199
210.97043,500,423.549547
133.71222,500,423.931306
192.59721,500,424.132711
184.68591,500,426.60025
127.803116,452,430.206112
169.8486,500,433.480262
216.1172,500,443.111841
178.52032,500,444.845156
198.46516,500,447.429061
189.45004,500,450.674873
207.59006,500,451.270781
196.7802,500,451.680798
242.52776,500,451.892744
190.19029,500,454.255495
216.01897,500,457.767197
219.23642,500,460.15596
180.85849,500,470.486992
199.51532,500,472.196106
192.65718,500,474.060354
197.12076,500,478.111139
183.97565,500,478.701556
172.95322,500,479.096271
171.61627,500,479.318285
201.02405,500,480.879545
198.94846,500,485.366071
208.18361,500,487.640311
201.14868,500,497.948322
167.42128,500,499.694826
220.95369,500,501.445676
164.1487,500,505.474579
196.78508,500,506.051552
198.08406,500,506.442028
132.58063,500,506.65233
174.95726,500,508.229631
186.57964,500,512.608123
199.78795,500,514.953693
198.42926,500,525.313082
199.08047,500,527.044848
208.42787,500,528.832709
213.61266,500,532.865637
211.3918,500,533.424824
182.92328,500,533.832284
226.28511,500,534.037215
180.83412,500,535.688457
194.03427,500,540.148167
197.44064,500,542.405229
188.41037,500,553.000696
205.60886,500,554.738985
198.03258,500,556.536933
234.37384,500,560.660365
240.45598,500,561.245896
192.11423,500,561.6952
232.27594,500,561.907625
198.44585,500,563.510673
198.5869,500,568.00631
196.71329,500,570.389943
188.353,500,580.616408
185.25108,500,582.291034
192.45613,500,584.014979
253.35199,500,587.907988
196.98576,500,588.484199
142.46967,500,588.880604
191.20175,500,589.099092
96.20543,500,590.663207
212.31462,500,594.995134
158.05745,500,597.284116
166.45622,500,606.54829
200.09285,500,609.160744
193.65689,500,610.963477
244.17264,500,614.907772
177.18857,500,615.485389
163.30588,500,615.880155
223.3527,500,616.087089
198.28127,500,617.638508
49.37909,500,621.907892
108.702866,500,624.156684
-10.472746,77,625.498866
204.58723,500,633.371051
204.5774,500,635.880824
211.57347,500,637.622839
192.10268,500,640.878937
198.35199,500,642.316588
198.64835,500,642.70575
173.9672,500,642.908956
192.72601,500,644.478719
199.01433,500,651.083725
194.29137,500,652.442364
196.59544,500,660.32389
163.2224,500,662.846905
135.35403,500,664.562376
179.67943,500,667.648999
216.69014,500,668.242172
131.97186,500,668.632511
194.76866,500,669.74838
149.18108,500,671.361676
162.88551,500,677.905099
125.35566,500,679.273579
213.22324,500,687.129137
197.68695,500,688.824555
195.36372,500,691.425413
220.08543,500,694.692335
193.13881,500,695.277281
191.87234,500,695.673663
127.81523,500,695.87996
214.45656,500,698.460964
198.99892,500,705.329489
186.27496,500,706.711236
195.17204,500,714.80652
196.81581,500,716.521596
193.44579,500,719.17564
190.61145,500,722.400203
208.03882,500,723.029545
214.16377,500,723.454861
202.31787,500,723.672884
200.38957,500,726.16885
193.05487,500,732.874748
214.68222,500,734.26047
220.04584,500,742.047931
198.48584,500,743.731639
211.26137,500,746.365247
219.72302,500,749.470183
200.96025,500,750.054509
201.11536,500,750.446367
241.00865,500,750.653788
192.96045,500,753.064268
117.82884,500,758.739888
210.32135,500,761.071021
182.90596,500,768.941358
189.99147,500,770.6378
205.53291,500,772.368036
191.2622,500,776.313667
215.69295,500,776.896912
215.4006,500,777.311179
187.05061,500,777.522111
195.08006,500,779.06275
198.4304,500,785.594744
153.13852,500,787.802377
201.60262,500,795.774062
189.0508,500,797.466407
209.94019,500,799.180968
113.142494,500,803.178225
196.46576,500,803.749989
181.32106,500,804.146646
210.63206,500,804.350988
186.81773,500,805.908447
199.54295,500,812.42777
171.25735,500,813.774944
197.80649,500,822.769569
216.89412,500,824.461329
199.38728,500,826.183903
177.51344,500,830.194893
223.87369,500,830.765674
186.32628,500,831.158883
191.53995,500,831.371275
132.58804,500,832.927525
214.30775,500,839.453609
195.25246,500,840.811097
199.71756,500,849.586675
210.27328,500,851.338361
85.438255,500,853.057195
131.71506,500,857.009459
192.06367,500,857.572781
209.50125,500,857.963454
173.75385,500,858.186895
212.095,500,859.725973
113.51511,500,866.179255
176.44354,500,867.55463
198.36151,500,875.426141
192.9563,500,877.907751
194.61047,500,879.705159
200.32619,500,883.709059
184.56335,500,884.302274
217.4209,500,884.692597
201.73335,500,884.899511
78.37827,500,886.439173
195.05394,500,892.899147
208.09195,500,894.283235
198.50021,500,902.147701
166.74414,500,904.671673
194.27768,500,906.412287
172.58965,500,909.561633
198.68898,500,910.99822
174.48875,500,911.38522
246.8605,500,911.585621
180.10797,500,913.124923
195.76723,500,919.618119
134.87231,500,920.983693
189.84343,500,928.861087
199.53656,500,931.408288
211.93687,500,933.136171
210.34961,500,936.285006
247.18875,500,936.859617
200.51509,500,938.107981
201.15366,500,938.308882
198.82172,500,939.951632
209.42934,500,946.457954
185.87679,500,947.809952
182.83267,500,955.665626
196.30336,500,957.375537
213.90184,500,959.970908
84.22947,500,963.036442
178.48967,500,963.613937
195.8113,500,964.011582
205.48816,500,964.223544
197.29434,500,966.567975
220.31349,500,973.195466
187.68114,500,974.579066
137.63191,500,982.493664
133.8356,500,984.161495
165.66216,500,986.674818
197.27243,500,989.812802
245.9571,500,990.406753
148.08148,500,990.804756
251.37807,500,991.024561
195.35628,500,993.482843
194.63162,500,1000.268224
197.98695,500,1001.619275
186.72218,500,1009.303823
195.85974,500,1010.933032
189.86089,500,1013.44671
221.34473,500,1016.511738
196.71022,500,1017.079691
152.51627,500,1017.461904
204.43707,500,1017.662775
198.77919,500,1019.983936
183.83658,500,1026.34443
195.72166,500,1027.681108
199.28534,500,1035.489563
210.73917,500,1037.123172
209.67712,500,1039.606778
243.00632,500,1042.7021
224.85054,500,1043.269798
190.63,500,1043.664019
190.68669,500,1043.867923
209.63107,500,1045.387477
187.1508,500,1051.716045
150.241,500,1053.839656
199.10017,500,1061.758384
158.0389,500,1063.416287
199.99538,500,1065.128356
206.393,500,1068.998429
225.50066,500,1069.576016
204.30627,500,1069.981253
246.03825,500,1070.189268
182.9799,500,1071.734196
167.32896,500,1078.096736
217.17383,500,1080.326488
173.71446,500,1088.05028
178.43327,500,1089.771685
210.7421,500,1091.546726
198.30113,500,1095.409325
249.24706,500,1095.971374
196.27051,500,1096.364347
193.5021,500,1096.575702
214.14981,500,1098.083109
170.5441,500,1104.477099
218.60811,500,1105.841954
194.5003,500,1114.366456
179.0893,500,1116.035379
192.82837,500,1117.72155
200.29745,500,1121.611754
216.8774,500,1122.170316
193.12274,500,1122.553083
166.59283,500,1122.749806
154.64363,500,1124.275199
199.30173,500,1130.665874
209.04494,500,1131.99738
215.76123,500,1140.481195
198.09918,500,1142.10423
175.42844,500,1143.80724
244.49962,500,1147.6543
216.91037,500,1148.210345
219.95755,500,1148.608942
214.9909,500,1148.821322
195.4523,500,1150.464969
191.1435,500,1156.828852
183.72774,500,1158.174668
212.28998,500,1165.966069
209.59555,500,1168.41828
184.15074,500,1170.136208
212.0924,500,1174.07564
199.76569,500,1174.647257
194.11966,500,1175.039603
244.1985,500,1175.247397
174.73868,500,1176.784209
213.1702,500,1183.368209
