#{"t_start": 1789943993.2999692, "env_id": "None"}
r,l,t
63.951508,500,10.631987
65.343207,500,17.630404
62.888939,500,24.297087
66.934315,500,30.761357
60.26252,500,37.208779
-30.844719,500,43.644011
67.264408,500,50.190668
61.519448,500,56.892068
65.571687,500,63.475616
63.269392,500,69.984179
67.470348,500,76.637097
66.205364,500,83.263045
57.733647,500,89.696086
68.110123,500,96.102156
65.828988,500,102.587501
66.777939,500,107.025969
60.360052,500,111.439502
51.073331,500,118.161121
69.096146,500,125.146415
64.854951,500,131.797489
60.035743,500,135.106839
65.927864,500,140.906577
69.320467,500,147.289229
-31.273115,500,152.836159
66.130614,500,156.015718
68.661658,500,162.608577
66.591975,500,168.077003
66.777432,500,171.491665
66.029294,500,177.512812
64.631752,500,183.755783
63.943019,500,189.961645
66.541151,500,196.37759
65.272041,500,202.654914
68.161804,500,208.851127
66.415227,500,215.035076
67.029868,500,221.22812
65.160065,500,227.623125
67.562751,500,233.857478
67.452224,500,240.056812
70.771194,500,246.271577
66.199289,500,252.50305
63.811745,500,258.817916
69.680376,500,264.688903
69.65609,500,270.886409
72.119158,500,277.132718
65.712574,500,283.371355
68.979228,500,289.709199
67.5132,500,295.91754
71.00159,500,302.118363
67.623903,500,308.319429
64.484462,500,314.659671
71.031615,500,320.922682
68.534957,500,327.139697
-99.600561,500,333.342369
68.620316,500,339.55143
74.167897,500,345.958826
68.034997,500,352.160396
68.180567,500,358.327906
71.301131,500,364.512963
70.508411,500,370.752506
70.882988,500,377.294018
67.159064,500,383.487301
67.927957,500,389.654324
71.467899,500,395.833966
69.587948,500,402.026219
-87.258679,482,408.150318
67.94351,500,414.329513
68.560771,500,420.495125
69.250813,500,426.700303
68.380838,500,432.926064
71.869662,500,439.261761
67.181022,500,445.467472
70.625875,500,451.633854
71.631624,500,457.829159
65.496942,500,464.125726
73.105176,500,470.382535
68.491474,500,476.566231
70.05582,500,482.74572
74.973235,500,488.992933
72.092048,500,495.403761
72.17395,500,501.596684
73.927908,500,507.770391
72.449906,500,513.936329
9.204633,500,519.815401
75.914723,500,526.220761
73.841467,500,532.389422
74.367021,500,538.598192
72.377418,500,544.788096
-52.935904,500,551.035156
71.0886,500,557.358621
75.118658,500,563.544165
67.231359,500,569.723886
72.546285,500,576.077201
73.678792,500,582.298182
73.487585,500,588.624567
72.638836,500,594.762266
72.488758,500,600.901396
75.758448,500,607.064201
21.331728,500,613.225167
75.036489,500,619.483963
-45.471668,500,625.625038
67.012723,500,631.750746
76.537344,500,637.947089
77.050938,500,644.164743
19.317605,500,650.391889
77.221284,500,656.544948
71.53637,500,662.703856
73.135792,500,668.938334
76.526879,500,675.160085
76.134653,500,681.284141
-73.423171,500,687.39408
77.324632,500,693.569368
73.045152,500,699.730485
75.555908,500,705.993787
74.255989,500,712.126739
73.387632,500,718.254315
70.507814,500,724.465591
74.324783,500,730.63507
73.501003,500,736.880664
73.506321,500,743.004988
73.144196,500,749.122497
72.627873,500,755.270348
70.382966,500,761.428668
74.319183,500,767.698496
71.709952,500,773.834201
67.676947,500,779.975027
72.066421,500,785.771624
76.409167,500,791.899707
73.810829,500,798.162127
75.154251,500,804.281422
74.016344,500,810.482429
72.153426,500,816.644859
69.462821,500,822.807252
74.047838,500,829.043547
71.062691,500,835.474321
71.544501,500,841.663854
75.165861,500,847.823678
63.86463,500,853.986134
-220.125672,386,858.864524
72.65271,500,864.97655
-11.298853,500,871.118366
41.921493,500,877.260876
75.613498,500,883.381676
