#{"t_start": 1789575519.0419428, "env_id": "None"}
r,l,t
-72.847531,160,6.205127
-178.606566,194,8.618919
-68.840934,68,9.490057
-99.309682,193,11.938842
-212.967945,175,14.161096
-190.756586,277,17.6277
-55.477641,65,18.614641
-220.230965,304,22.375309
-460.806566,477,28.10119
-55.66361,104,29.424587
-295.787647,321,34.509287
-329.17611,500,40.36796
-460.869833,500,46.322465
-235.92204,385,50.86448
-360.633642,348,55.028831
-730.863679,442,61.928299
-252.405364,354,66.070191
-224.048563,142,67.736941
-288.208117,404,72.467003
-73.9584,94,73.577794
-106.891584,101,74.756572
-245.833006,500,80.614533
-67.714911,104,83.273912
-246.400895,225,85.924582
-163.03598,215,88.525349
-265.157703,225,91.225654
-519.593907,500,97.104407
-101.848051,101,98.339494
-159.684347,206,100.820007
-251.149278,220,103.391118
-660.495393,463,110.111458
-395.21696,500,115.988094
-174.635252,208,118.531912
-115.143281,109,119.893021
-264.73434,364,124.26333
-57.38604,84,125.243307
-102.462574,198,127.573278
-124.160146,150,129.321279
-94.530263,153,131.114478
-68.575535,140,134.144348
-189.821051,173,136.179134
-62.773596,136,137.815871
-109.962994,275,141.050171
-419.288,363,145.328218
-71.594196,75,146.2049
-390.781409,319,150.079002
-69.673973,140,151.721951
-251.400595,295,155.167363
-297.947031,500,162.34189
-164.964491,192,164.581275
-182.584002,250,167.514063
-62.31365,72,168.361934
-57.795061,155,170.181567
-72.562705,92,171.26101
-638.302217,500,177.119157
-188.60401,243,180.119181
-104.12883,500,187.408215
-394.112111,344,191.455421
-570.908682,500,197.304698
-265.845477,314,200.993697
-242.461755,180,203.121877
-60.372352,224,205.756861
-315.817126,500,213.089933
-136.970385,206,215.488531
-207.649776,500,221.329968
-366.452697,500,227.177032
-341.406141,420,232.102846
-162.243068,251,236.387198
-72.45396,140,238.061628
-127.600742,135,239.756444
-151.398547,359,243.956914
-81.774605,88,244.991302
-269.881387,391,249.558856
-67.213325,81,250.519938
-545.415134,500,256.378701
-149.218438,323,261.676759
-179.995738,287,265.219578
-45.571642,139,266.863121
-82.754281,185,269.135811
-129.126663,171,271.183278
-197.571995,277,274.525823
-199.370414,500,280.379918
-79.716462,141,282.019196
-241.45161,500,289.269005
-61.412878,132,290.817376
-390.723167,500,296.699913
-64.442847,92,297.808893
-79.42386,172,299.964974
-195.946942,295,303.402634
-447.748726,500,309.303617
-48.322252,183,312.749373
-121.980816,230,315.444798
-74.737747,79,316.378736
-59.229248,105,317.604935
-67.301058,500,323.459862
-47.004582,355,327.621765
-249.875937,472,333.226836
-61.85617,182,335.353567
-243.306317,486,342.408925
-318.916392,500,348.264634
-222.487916,500,354.155146
-78.423076,323,357.954551
-205.773167,500,365.176118
-71.661874,133,366.731725
-113.552006,227,369.380697
-57.898399,110,370.674822
-118.821448,361,374.887263
-500.679257,484,380.540868
-170.633126,459,385.914058
-113.215647,156,389.193022
-165.54289,265,392.298038
-258.236273,302,395.869934
-238.055976,225,398.502314
-145.731434,357,402.74564
-67.386686,64,403.51214
-357.048008,382,408.04362
-19.076016,500,415.3654
-57.947188,78,416.280871
-97.128595,121,417.701184
-239.876613,500,423.663218
-72.267436,188,425.857303
-89.502923,134,427.43076
-137.27671,463,432.836465
-86.028118,85,433.833544
-164.795237,227,436.504308
-68.526652,85,437.497431
-47.079618,67,438.291991
-225.339758,263,442.739407
-56.552866,62,443.466711
-606.990951,500,449.419303
-57.349782,108,450.697156
-356.40325,370,455.006509
-140.273449,260,458.036376
-168.18717,318,461.892547
-251.41773,454,468.62507
-49.469055,256,471.628807
-86.249899,111,472.934083
-244.267393,497,478.856838
-111.639994,359,483.069324
-332.071732,368,487.357803
-559.121491,500,494.554712
-52.092733,70,495.390559
-193.331287,500,501.24543
-328.71347,422,506.156946
-177.433349,170,508.168007
-335.215253,447,513.49079
-145.780792,310,518.447691
-62.531334,115,519.796144
-41.001298,226,522.437344
-300.992659,350,526.548158
-119.046488,211,529.015441
-45.171231,107,530.27549
-154.503333,205,532.677649
-273.824521,500,538.579693
-242.853577,360,544.168546
-130.019741,500,550.01452
-274.337141,317,553.72399
-177.375,438,558.858263
-155.841576,500,564.689584
-71.13919,94,565.797147
-48.204105,182,569.376909
-86.037792,114,570.759534
-175.576884,500,576.710224
-50.497273,159,578.604706
-177.308059,500,584.519824
-30.581761,500,590.494147
-51.327182,158,593.748913
-190.41199,260,596.840292
-35.3393,89,597.894705
-193.796216,500,603.93576
-189.73542,423,609.039771
-62.267513,196,611.385637
-168.368304,252,614.435513
-287.328575,500,622.09712
-187.433094,500,628.25352
-91.831016,260,631.56185
-98.019699,360,635.924962
-96.407834,336,640.00478
