#{"t_start": 1789579206.8329842, "env_id": "None"}
r,l,t
-416.172528,500,10.548951
-44.745912,59,11.308904
-46.369885,44,11.865998
-54.230699,43,12.392697
-47.544618,56,13.086485
-44.603514,43,13.641225
-172.65832,150,15.674628
-66.333554,65,16.487658
-45.46956,50,17.114749
-42.960043,50,17.742932
-65.044392,52,18.391457
-45.434944,45,18.956606
-1027.080676,500,25.264084
-50.973247,46,25.841335
-51.084847,46,26.417432
-45.080056,59,27.156524
-63.500747,57,27.869979
-322.081388,295,33.033549
-44.176768,47,33.63919
-51.640057,43,34.167006
-47.439034,65,34.972018
-50.648498,41,35.481186
-46.377858,45,36.039466
-156.973213,134,37.692365
-59.491512,50,38.310402
-54.828652,43,38.846704
-98.870595,93,39.990395
-111.516641,169,42.025141
-44.854878,44,42.556936
-43.43426,59,43.268513
-59.45341,44,43.802431
-46.674771,45,44.346465
-71.165553,53,44.980186
-55.898308,70,45.827597
-59.853948,49,46.416178
-46.871612,47,46.983114
-191.990116,161,48.914995
-44.54014,48,49.492086
-566.553357,500,55.591808
-62.676816,56,56.273309
-46.498768,48,58.247569
-52.709894,42,58.760897
-49.058167,43,59.291193
-44.875174,46,59.856605
-45.236163,44,60.392676
-41.184644,60,61.153935
-45.492877,51,61.837646
-46.235505,48,62.470095
-44.588224,45,63.038216
-203.202192,126,64.562577
-61.142739,58,65.262056
-299.871372,167,67.265096
-48.743733,48,67.851548
-48.332825,42,68.359378
-45.215409,44,68.901292
-46.043767,60,69.628108
-57.317895,52,70.263644
-45.352599,44,70.794361
-45.686436,46,71.353636
-57.966487,45,71.904979
-111.392944,129,73.535402
-63.579195,49,74.138571
-45.191368,86,75.17953
-60.089616,48,75.762498
-43.943861,47,76.332709
-45.975627,45,76.880607
-51.825593,48,77.470518
-49.776783,46,78.032478
-42.341607,55,78.702077
-44.887695,46,79.260798
-45.96466,47,79.841165
-624.446488,500,87.325285
-44.678595,48,87.913349
-205.910999,147,89.687696
-66.764355,59,90.394388
-51.088584,48,90.977909
-42.594261,82,92.038764
-62.30179,47,92.641689
-44.933096,43,93.16644
-59.992535,54,93.819262
-71.065196,49,94.413123
-43.955622,47,94.991523
-64.730816,52,95.625903
-48.663493,72,96.491597
-72.566162,67,97.30738
-315.575253,500,103.349019
-44.148491,50,103.957122
-46.103436,45,104.508507
-43.531266,62,105.265209
-46.117726,42,105.780735
-59.82472,46,106.338533
-75.004899,51,106.95883
-133.592286,78,107.908079
-53.401466,49,108.506241
-148.853229,160,112.094695
-44.219109,50,112.713197
-45.168932,77,113.649783
-42.732537,56,114.33314
-45.487874,48,114.921885
-112.141555,109,116.245855
-120.563253,91,117.34685
-45.543941,51,117.968837
-51.435021,41,118.469139
-52.779479,48,119.051399
-44.610175,45,119.59677
-52.256692,55,120.264804
