swap,seed,dxA,dxB,leader_label,leader_spot,margin_100,margin_200,margin_final,lead_changes,first_leader_label,min_dist250,contact_steps
0,0,0.021,0.104,B,inside,-0.98,13.19,17.37,0,B,1.46,0
0,1,0.113,-0.484,A,outside,-7.45,-9.47,-13.73,0,A,2.21,0
0,2,-0.119,-0.143,A,outside,-7.03,-5.32,-10.28,0,A,1.85,0
0,3,-0.312,-0.243,A,outside,-1.14,-2.80,-9.52,0,A,1.41,0
0,4,-0.499,-0.370,B,inside,7.64,11.14,14.02,0,B,1.75,0
0,5,-0.418,0.431,B,inside,6.04,8.91,10.36,0,B,2.25,0
0,6,-0.163,0.101,B,inside,6.70,9.90,13.06,0,B,1.78,0
0,7,-0.429,0.316,B,inside,6.62,9.28,15.30,0,B,2.18,0
0,8,-0.333,0.313,B,inside,6.65,9.08,13.50,0,B,2.06,0
0,9,-0.443,-0.173,B,inside,7.78,10.86,12.86,0,B,1.79,0
0,10,-0.405,0.036,B,inside,7.03,10.67,13.86,0,B,1.81,0
0,11,-0.216,0.063,B,inside,6.95,10.76,11.81,0,B,1.77,0
1,0,0.104,0.021,B,outside,4.62,7.56,12.45,0,B,1.77,0
1,1,-0.484,0.113,B,outside,7.04,10.16,10.88,0,B,2.21,0
1,2,-0.143,-0.119,B,outside,7.15,7.23,11.55,0,B,1.85,0
1,3,-0.243,-0.312,B,outside,6.71,9.70,11.67,0,B,1.76,0
1,4,-0.370,-0.499,A,inside,-8.10,-11.35,-17.53,0,A,1.75,0
1,5,0.431,-0.418,A,inside,-5.74,-8.96,-11.33,0,A,2.25,0
1,6,0.101,-0.163,A,inside,-6.39,-9.96,-14.39,0,A,1.78,0
1,7,0.316,-0.429,A,inside,-7.09,-10.13,-13.36,0,A,2.18,0
1,8,0.313,-0.333,A,inside,-7.07,-11.76,-16.41,0,A,2.06,0
1,9,-0.173,-0.443,A,inside,-7.81,-11.35,-11.72,0,A,1.79,0
1,10,0.036,-0.405,A,inside,-7.11,-10.59,-12.17,0,A,1.81,0
1,11,0.063,-0.216,A,inside,-6.55,-10.06,-14.27,0,A,1.77,0
