step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
0,0.000,A,0.000,-1.500,0.0,0.0,0.000,-1.500,0.001,1.000,1.000,0.000
0,0.000,B,0.000,1.500,0.0,0.0,0.000,1.500,0.001,1.000,-1.000,-0.000
1,0.067,A,0.003,-1.496,0.3,0.3,0.003,-1.496,0.061,1.000,1.000,-0.000
1,0.067,B,0.003,1.496,-0.3,-0.3,0.003,1.496,0.065,1.000,-1.000,0.000
2,0.133,A,0.013,-1.488,0.8,0.8,0.012,-1.488,0.201,1.000,1.000,-0.000
2,0.133,B,0.013,1.490,-0.7,-0.7,0.013,1.490,0.206,1.000,-1.000,0.000
3,0.200,A,0.031,-1.481,1.3,1.3,0.031,-1.481,0.334,1.000,1.000,-0.001
3,0.200,B,0.032,1.484,-1.1,-1.1,0.032,1.484,0.328,1.000,-1.000,0.001
4,0.267,A,0.058,-1.473,1.8,1.8,0.058,-1.473,0.438,1.000,1.000,-0.001
4,0.267,B,0.058,1.476,-1.6,-1.6,0.058,1.476,0.441,1.000,-1.000,0.001
5,0.333,A,0.090,-1.464,2.4,2.4,0.090,-1.464,0.536,1.000,1.000,-0.001
5,0.333,B,0.092,1.466,-2.3,-2.3,0.092,1.466,0.548,1.000,-1.000,0.001
6,0.400,A,0.129,-1.453,3.1,3.1,0.129,-1.453,0.633,1.000,1.000,-0.002
6,0.400,B,0.132,1.454,-3.0,-3.0,0.132,1.454,0.648,1.000,-1.000,0.002
7,0.467,A,0.175,-1.439,3.8,3.8,0.175,-1.439,0.732,1.000,1.000,-0.003
7,0.467,B,0.178,1.440,-3.8,-3.8,0.178,1.440,0.745,1.000,-1.000,0.003
8,0.533,A,0.226,-1.423,4.7,4.7,0.226,-1.423,0.833,1.000,1.000,-0.004
8,0.533,B,0.230,1.423,-4.7,-4.7,0.230,1.423,0.841,1.000,-1.000,0.004
9,0.600,A,0.284,-1.405,5.6,5.6,0.284,-1.405,0.935,1.000,1.000,-0.004
9,0.600,B,0.289,1.403,-5.7,-5.7,0.289,1.403,0.937,1.000,-1.000,0.004
10,0.667,A,0.349,-1.383,6.6,6.6,0.349,-1.383,1.042,1.000,1.000,-0.004
10,0.667,B,0.353,1.381,-6.8,-6.8,0.353,1.381,1.036,1.000,-1.000,0.004
11,0.733,A,0.420,-1.359,7.8,7.8,0.420,-1.359,1.149,1.000,1.000,-0.003
11,0.733,B,0.423,1.356,-7.9,-7.9,0.423,1.356,1.136,1.000,-1.000,0.003
12,0.800,A,0.497,-1.330,9.0,9.0,0.497,-1.330,1.258,1.000,1.000,-0.002
12,0.800,B,0.499,1.327,-9.2,-9.2,0.499,1.327,1.239,1.000,-1.000,0.002
13,0.867,A,0.581,-1.297,10.3,10.3,0.581,-1.297,1.368,1.000,1.000,-0.000
13,0.867,B,0.581,1.294,-10.5,-10.5,0.581,1.294,1.343,-0.157,-1.000,0.000
14,0.933,A,0.670,-1.259,11.7,11.7,0.670,-1.259,1.482,1.000,1.000,0.013
14,0.933,B,0.657,1.263,-11.6,-11.6,0.657,1.263,1.155,0.255,-1.000,-0.013
15,1.000,A,0.766,-1.216,13.2,13.2,0.766,-1.216,1.594,1.000,1.000,0.034
15,1.000,B,0.732,1.230,-12.8,-12.8,0.732,1.230,1.237,0.217,-1.000,-0.034
16,1.067,A,0.868,-1.167,14.8,14.8,0.868,-1.167,1.706,1.000,1.000,0.057
16,1.067,B,0.811,1.194,-14.0,-14.0,0.811,1.194,1.324,0.839,-1.000,-0.057
17,1.133,A,0.975,-1.112,16.5,16.5,0.975,-1.112,1.817,1.000,1.000,0.081
17,1.133,B,0.894,1.152,-15.3,-15.3,0.894,1.152,1.423,1.000,-1.000,-0.081
18,1.200,A,1.087,-1.051,18.3,18.3,1.087,-1.051,1.927,1.000,0.369,0.103
18,1.200,B,0.984,1.105,-16.8,-16.8,0.984,1.105,1.534,1.000,-1.000,-0.103
19,1.267,A,1.209,-0.994,19.0,19.0,1.209,-0.994,2.105,1.000,1.000,0.134
19,1.267,B,1.075,1.061,-17.9,-17.9,1.075,1.061,1.251,1.000,1.000,-0.134
20,1.333,A,1.359,-0.967,16.9,16.9,1.359,-0.967,2.278,1.000,0.504,0.214
20,1.333,B,1.145,1.048,-18.7,-18.7,1.145,1.048,1.111,1.000,1.000,-0.214
21,1.400,A,1.510,-0.931,16.3,16.3,1.510,-0.931,2.354,1.000,-0.263,0.289
21,1.400,B,1.221,1.033,-18.0,-18.0,1.221,1.033,1.180,1.000,1.000,-0.289
22,1.467,A,1.664,-0.891,16.0,16.0,1.664,-0.891,2.395,1.000,-0.189,0.359
22,1.467,B,1.305,1.025,-16.8,-16.8,1.305,1.025,1.285,1.000,0.831,-0.359
23,1.533,A,1.827,-0.854,15.4,15.4,1.827,-0.854,2.550,1.000,-0.264,0.430
23,1.533,B,1.397,1.017,-15.5,-15.5,1.397,1.017,1.410,1.000,0.705,-0.430
24,1.600,A,1.998,-0.817,14.8,14.8,1.998,-0.817,2.677,1.000,-0.181,0.502
24,1.600,B,1.497,1.008,-14.4,-14.4,1.496,1.008,1.538,1.000,0.829,-0.502
25,1.667,A,2.179,-0.779,14.2,14.2,2.179,-0.779,2.813,1.000,-0.685,0.575
25,1.667,B,1.604,0.999,-13.1,-13.1,1.604,0.999,1.634,1.000,0.415,-0.575
26,1.733,A,2.366,-0.745,13.4,13.4,2.366,-0.745,2.866,1.000,-0.827,0.648
26,1.733,B,1.718,0.990,-12.0,-12.0,1.718,0.990,1.744,1.000,0.600,-0.648
27,1.800,A,2.558,-0.723,11.9,11.9,2.558,-0.723,2.890,1.000,-0.232,0.719
27,1.800,B,1.838,0.979,-11.1,-11.1,1.838,0.979,1.850,1.000,0.490,-0.719
28,1.867,A,2.753,-0.706,10.5,10.5,2.753,-0.706,2.966,1.000,-0.177,0.786
28,1.867,B,1.968,0.970,-10.0,-10.0,1.967,0.970,1.985,1.000,0.449,-0.786
29,1.933,A,2.955,-0.680,9.8,9.8,2.955,-0.680,3.094,1.000,0.494,0.850
29,1.933,B,2.105,0.961,-9.1,-9.1,2.105,0.961,2.112,1.000,0.381,-0.850
30,2.000,A,3.162,-0.649,9.5,9.5,3.162,-0.649,3.157,1.000,-0.869,0.910
30,2.000,B,2.252,0.952,-8.2,-8.2,2.252,0.952,2.251,1.000,-0.090,-0.910
31,2.067,A,3.371,-0.615,9.5,9.5,3.371,-0.615,3.183,1.000,-0.170,0.965
31,2.067,B,2.406,0.939,-7.6,-7.6,2.406,0.939,2.334,1.000,-1.000,-0.965
32,2.133,A,3.585,-0.584,9.2,9.2,3.585,-0.584,3.307,1.000,-0.383,1.023
32,2.133,B,2.562,0.915,-7.8,-7.8,2.562,0.915,2.378,0.848,-1.000,-1.023
33,2.200,A,3.807,-0.559,8.5,8.5,3.807,-0.559,3.367,1.000,0.527,1.089
33,2.200,B,2.718,0.880,-8.7,-8.7,2.718,0.880,2.408,0.939,-1.000,-1.089
34,2.267,A,4.035,-0.550,7.5,7.5,4.035,-0.550,3.422,1.000,0.261,1.163
