step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
0,0.000,A,0.000,1.500,-0.0,-0.0,0.000,1.500,0.001,1.000,-1.000,-0.000
0,0.000,B,0.000,-1.500,-0.0,-0.0,0.000,-1.500,0.001,1.000,1.000,0.000
1,0.067,A,0.004,1.497,-0.2,-0.2,0.004,1.497,0.073,1.000,-1.000,0.001
1,0.067,B,0.003,-1.496,0.3,0.3,0.003,-1.496,0.061,1.000,1.000,-0.001
2,0.133,A,0.014,1.493,-0.5,-0.5,0.014,1.493,0.211,1.000,-1.000,0.002
2,0.133,B,0.013,-1.488,0.8,0.8,0.012,-1.488,0.201,1.000,1.000,-0.002
3,0.200,A,0.033,1.488,-0.8,-0.8,0.033,1.488,0.328,1.000,-1.000,0.002
3,0.200,B,0.031,-1.481,1.3,1.3,0.031,-1.481,0.334,1.000,1.000,-0.002
4,0.267,A,0.059,1.481,-1.3,-1.3,0.059,1.481,0.441,1.000,-1.000,0.002
4,0.267,B,0.058,-1.473,1.8,1.8,0.058,-1.473,0.438,1.000,1.000,-0.002
5,0.333,A,0.093,1.471,-2.0,-2.0,0.093,1.471,0.548,1.000,-1.000,0.002
5,0.333,B,0.090,-1.464,2.4,2.4,0.090,-1.464,0.536,1.000,1.000,-0.002
6,0.400,A,0.133,1.459,-2.7,-2.7,0.133,1.459,0.649,1.000,-1.000,0.004
6,0.400,B,0.130,-1.452,3.1,3.1,0.129,-1.452,0.633,1.000,1.000,-0.004
7,0.467,A,0.180,1.444,-3.5,-3.5,0.180,1.444,0.746,1.000,-1.000,0.005
7,0.467,B,0.175,-1.439,3.8,3.8,0.175,-1.439,0.732,1.000,1.000,-0.005
8,0.533,A,0.232,1.428,-4.5,-4.5,0.232,1.428,0.843,1.000,-1.000,0.005
8,0.533,B,0.227,-1.423,4.7,4.7,0.227,-1.423,0.834,1.000,1.000,-0.005
9,0.600,A,0.290,1.409,-5.4,-5.4,0.290,1.409,0.939,1.000,-1.000,0.006
9,0.600,B,0.285,-1.405,5.6,5.6,0.285,-1.405,0.937,1.000,1.000,-0.006
10,0.667,A,0.355,1.387,-6.5,-6.5,0.355,1.387,1.037,1.000,-1.000,0.006
10,0.667,B,0.349,-1.383,6.6,6.6,0.349,-1.383,1.042,1.000,1.000,-0.006
11,0.733,A,0.425,1.362,-7.7,-7.7,0.425,1.362,1.138,1.000,-1.000,0.005
11,0.733,B,0.420,-1.358,7.8,7.8,0.420,-1.358,1.150,1.000,1.000,-0.005
12,0.800,A,0.501,1.333,-8.9,-8.9,0.501,1.333,1.242,1.000,-1.000,0.004
12,0.800,B,0.497,-1.329,9.0,9.0,0.497,-1.329,1.260,1.000,1.000,-0.004
13,0.867,A,0.584,1.301,-10.2,-10.2,0.584,1.301,1.348,-0.054,-1.000,0.003
13,0.867,B,0.581,-1.296,10.3,10.3,0.581,-1.296,1.369,1.000,1.000,-0.003
14,0.933,A,0.661,1.270,-11.3,-11.3,0.660,1.270,1.159,0.336,-1.000,-0.010
14,0.933,B,0.671,-1.259,11.7,11.7,0.671,-1.259,1.482,1.000,1.000,0.010
15,1.000,A,0.735,1.237,-12.5,-12.5,0.735,1.237,1.244,0.090,-1.000,-0.031
15,1.000,B,0.767,-1.216,13.2,13.2,0.767,-1.216,1.595,1.000,1.000,0.031
16,1.067,A,0.806,1.205,-13.6,-13.6,0.806,1.205,1.079,1.000,-1.000,-0.063
16,1.067,B,0.869,-1.167,14.8,14.8,0.868,-1.167,1.707,1.000,0.946,0.063
17,1.133,A,0.875,1.172,-14.7,-14.7,0.875,1.172,1.162,1.000,-1.000,-0.102
17,1.133,B,0.976,-1.113,16.4,16.4,0.976,-1.113,1.827,1.000,0.454,0.102
18,1.200,A,0.949,1.133,-15.9,-15.9,0.949,1.133,1.266,1.000,-0.513,-0.142
18,1.200,B,1.091,-1.057,17.8,17.8,1.091,-1.057,1.940,1.000,0.231,0.142
19,1.267,A,1.030,1.094,-17.0,-17.0,1.030,1.094,1.383,1.000,0.306,-0.185
19,1.267,B,1.215,-1.005,18.5,18.5,1.215,-1.005,2.060,1.000,0.242,0.185
20,1.333,A,1.120,1.058,-17.5,-17.5,1.120,1.058,1.461,1.000,1.000,-0.229
20,1.333,B,1.348,-0.952,19.1,19.1,1.348,-0.952,2.199,1.000,-0.016,0.229
21,1.400,A,1.217,1.031,-17.3,-17.3,1.216,1.031,1.528,1.000,0.963,-0.273
21,1.400,B,1.489,-0.898,19.3,19.3,1.489,-0.898,2.302,1.000,-0.350,0.273
22,1.467,A,1.319,1.014,-16.3,-16.3,1.319,1.014,1.560,1.000,1.000,-0.320
22,1.467,B,1.639,-0.850,19.1,19.1,1.639,-0.850,2.378,1.000,-0.309,0.320
23,1.533,A,1.428,1.006,-14.8,-14.8,1.427,1.006,1.643,1.000,0.998,-0.369
23,1.533,B,1.797,-0.808,18.3,18.3,1.797,-0.808,2.498,1.000,-0.713,0.369
24,1.600,A,1.543,1.000,-13.2,-13.2,1.543,1.000,1.755,1.000,0.535,-0.419
24,1.600,B,1.962,-0.770,17.3,17.3,1.962,-0.770,2.551,1.000,-1.000,0.419
25,1.667,A,1.665,1.036,-9.1,-9.1,1.665,1.036,1.722,1.000,-0.505,-0.467
25,1.667,B,2.131,-0.786,13.6,13.6,2.131,-0.786,2.392,1.000,0.324,0.467
26,1.733,A,1.792,1.060,-6.2,-6.2,1.792,1.060,1.900,1.000,-0.738,-0.508
26,1.733,B,2.300,-0.804,9.6,9.6,2.300,-0.804,2.458,1.000,1.000,0.508
27,1.800,A,1.927,1.076,-4.3,-4.3,1.927,1.076,2.058,1.000,-1.000,-0.544
27,1.800,B,2.471,-0.828,6.2,6.2,2.471,-0.828,2.516,0.445,1.000,0.544
28,1.867,A,2.069,1.081,-3.2,-3.2,2.069,1.081,2.160,1.000,-1.000,-0.574
28,1.867,B,2.643,-0.855,3.2,3.2,2.643,-0.855,2.567,1.000,1.000,0.574
29,1.933,A,2.216,1.076,-3.0,-3.0,2.216,1.076,2.225,0.833,-1.000,-0.606
29,1.933,B,2.822,-0.877,1.3,1.3,2.822,-0.877,2.802,1.000,1.000,0.606
30,2.000,A,2.365,1.060,-3.6,-3.6,2.365,1.060,2.260,0.152,-1.000,-0.647
30,2.000,B,3.012,-0.881,0.8,0.8,3.012,-0.881,2.868,1.000,1.000,0.647
31,2.067,A,2.507,1.033,-4.7,-4.7,2.507,1.033,2.097,-0.046,-1.000,-0.698
31,2.067,B,3.205,-0.873,1.1,1.1,3.205,-0.873,2.908,1.000,1.000,0.698
32,2.133,A,2.638,1.005,-5.9,-5.9,2.638,1.005,1.932,0.041,-1.000,-0.762
32,2.133,B,3.400,-0.854,2.1,2.1,3.399,-0.854,2.934,1.000,1.000,0.762
33,2.200,A,2.757,0.977,-6.9,-6.9,2.757,0.977,1.754,0.158,-1.000,-0.837
33,2.200,B,3.594,-0.821,3.7,3.7,3.594,-0.821,2.951,1.000,0.741,0.837
34,2.267,A,2.865,0.945,-8.2,-8.2,2.865,0.945,1.606,0.632,-1.000,-0.926
