#{"t_start": 1789987492.3390474, "env_id": "None"}
r,l,t
-82.0143,114,5.107238
-248.94861,114,5.107238
-119.24863,120,5.29608
-234.53671,120,5.29608
-138.67603,177,7.594412
-216.93597,177,7.594412
-456.17453,500,18.478204
-332.5502,500,18.478204
193.04977,500,18.478204
133.03897,500,18.478204
205.18195,500,18.478204
188.08649,500,18.478204
207.04182,500,18.478204
190.09067,500,18.478204
191.6332,500,18.478204
183.27646,500,18.478204
205.28181,500,22.398134
195.46503,500,22.398134
115.45409,500,22.586306
185.2503,500,22.586306
188.02716,500,24.822443
101.84571,500,24.822443
213.55864,500,35.472429
184.98051,500,35.472429
18.92703,500,35.472429
68.43576,500,35.472429
172.17168,500,35.472429
180.13947,500,35.472429
203.66423,500,35.472429
190.13585,500,35.472429
211.48277,500,35.472429
180.01291,500,35.472429
187.79976,500,39.439084
178.61017,500,39.439084
208.0514,500,39.62787
183.16843,500,39.628873
138.32884,500,41.918329
191.396,500,41.918329
