#{"t_start": 1790172179.146064, "env_id": "None"}
r,l,t
188.72453,500,17.411633
196.74603,500,17.411633
234.78217,500,17.411633
196.64275,500,17.411633
249.45212,500,17.412133
197.37129,500,17.412133
166.87405,500,17.412133
75.16983,500,17.412133
194.52193,500,17.412133
201.87515,500,17.412133
210.96182,500,17.412133
143.08197,500,17.412133
244.5024,500,17.412133
193.80739,500,17.412133
194.51785,500,17.412133
164.63109,500,17.412133
218.6559,500,33.545688
155.62854,500,33.545688
230.39919,500,33.545688
225.03319,500,33.546188
191.93092,500,33.546188
159.0868,500,33.546188
212.28606,500,33.546188
210.72322,500,33.546188
210.65239,500,33.546188
203.00772,500,33.546188
237.1294,500,33.546188
159.09468,500,33.546188
193.70815,500,33.546188
192.62308,500,33.546188
212.55344,500,33.546188
184.79715,500,33.546188
218.74524,500,49.835664
191.52687,500,49.836164
246.73643,500,49.836164
215.30219,500,49.836164
231.13266,500,49.836164
214.83707,500,49.836164
204.51703,500,49.836164
185.01569,500,49.836164
237.13324,500,49.836164
194.03975,500,49.836164
243.44649,500,49.836164
226.6071,500,49.836164
157.09615,500,49.836164
197.81279,500,49.836164
237.1743,500,49.836164
143.12912,500,49.836164
184.67238,500,65.977894
207.80916,500,65.977894
220.15796,500,65.977894
196.64606,500,65.977894
224.8337,500,65.977894
206.2212,500,65.977894
227.63358,500,65.977894
186.07376,500,65.977894
221.53804,500,65.977894
199.4033,500,65.977894
206.38829,500,65.977894
183.8767,500,65.977894
151.95804,500,65.977894
217.30284,500,65.977894
192.68997,500,65.977894
85.69055,500,65.977894
198.98271,500,82.180874
180.11496,500,82.180874
223.27031,500,82.180874
188.13737,500,82.181376
176.1087,500,82.181376
85.78411,500,82.181376
237.25226,500,82.181376
140.2995,500,82.181376
186.66632,500,82.181376
174.22353,500,82.181376
143.92227,500,82.181376
86.296585,500,82.181376
229.99115,500,82.181376
219.58218,500,82.181376
217.67094,500,82.181376
164.34937,500,82.181376
238.35359,500,98.268646
218.7567,500,98.268646
214.49191,500,98.268646
200.98877,500,98.268646
226.05698,500,98.268646
120.37446,500,98.268646
177.78093,500,98.268646
74.28475,500,98.268646
224.83652,500,98.268646
197.65184,500,98.268646
228.12015,500,98.268646
182.83234,500,98.268646
210.84721,500,98.268646
174.20613,500,98.268646
191.32599,500,98.268646
181.31001,500,98.268646
230.0644,500,114.538749
136.29971,500,114.538749
186.22966,500,114.538749
179.26646,500,114.538749
186.72264,500,114.538749
184.69485,500,114.538749
241.03291,500,114.538749
169.05858,500,114.538749
225.93747,500,114.538749
107.99303,500,114.538749
203.6058,500,114.538749
175.24873,500,114.538749
234.45134,500,114.538749
195.96597,500,114.538749
85.10939,500,114.538749
94.84332,500,114.538749
201.80798,500,130.672144
163.3463,500,130.672144
166.27824,500,130.672144
209.45737,500,130.672144
226.6764,500,130.672144
191.18533,500,130.672144
153.51297,500,130.672144
