#{"t_start": 1789588122.6565337, "env_id": "None"}
r,l,t
41.541103,500,9.833329
109.599207,500,16.494032
111.150882,500,22.968816
109.089473,500,29.494586
110.759021,500,35.916819
108.56652,500,42.142537
105.910962,500,48.327618
110.453861,500,54.446917
111.241934,500,60.788268
110.792772,500,66.969147
110.63613,500,73.168669
111.626321,500,79.321591
105.019551,500,85.440241
106.601262,500,91.738288
107.818889,500,97.907577
108.231379,500,104.118426
106.956792,500,110.239295
105.540019,500,116.363691
108.906783,500,122.606851
108.421733,500,128.766364
104.156919,500,134.930709
110.263581,500,141.087227
108.666994,500,147.217883
105.841123,500,153.477615
-5.66939,500,159.677891
109.490698,500,165.813741
104.715008,500,171.95056
109.957941,500,178.153564
111.327981,500,184.35578
108.130032,500,190.501002
108.363037,500,196.628235
107.387887,500,202.781869
78.528761,500,209.018502
106.792732,500,215.231508
104.858523,500,221.414907
108.757007,500,227.53659
107.265564,500,233.675143
103.980518,500,239.995064
105.575954,500,246.201385
107.035959,500,252.345179
105.680035,500,258.467783
107.355767,500,264.581242
108.20137,500,270.50838
105.158228,500,276.643225
108.884642,500,282.810574
105.410189,500,288.915877
107.309831,500,295.091056
108.677873,500,301.482466
106.582611,500,307.797434
108.437206,500,313.875336
107.242924,500,319.965051
105.712833,500,326.093135
109.701677,500,332.384817
110.121781,500,338.510481
107.76751,500,344.586142
106.609523,500,350.660805
109.72807,500,356.808987
105.593912,500,363.063654
108.469401,500,369.235066
107.193746,500,375.305776
-29.090623,500,381.424719
104.734744,500,387.606961
106.381164,500,393.834569
110.003459,500,399.901182
105.983881,500,405.978214
109.228314,500,412.102161
108.398193,500,418.314568
107.799661,500,424.516179
106.889782,500,430.601799
107.930545,500,436.687243
108.250317,500,442.79783
109.853943,500,449.061643
105.628296,500,455.157681
106.498683,500,461.234706
106.878486,500,467.346456
107.177942,500,473.438895
105.224372,500,479.65347
108.694379,500,485.734134
108.125397,500,491.810112
108.65307,500,497.880055
107.659161,500,503.973794
106.89306,500,510.196035
110.316355,500,516.272037
104.951501,500,522.329319
108.928568,500,528.429962
110.716782,500,534.204523
110.964296,500,540.425759
105.946249,500,546.485341
106.551774,500,552.534448
111.682021,500,558.652371
108.65839,500,564.765497
110.096694,500,570.999836
106.563803,500,577.049297
108.859554,500,583.129931
42.012774,500,589.232342
105.021075,500,595.378722
108.641837,500,601.591539
109.970599,500,607.699338
104.699357,500,613.788022
106.376346,500,619.912599
107.009274,500,626.036204
108.68126,500,632.250561
108.029101,500,638.33069
109.073277,500,644.419898
105.945408,500,650.549242
107.152299,500,656.676208
108.154992,500,662.894799
112.168323,500,668.969327
109.180037,500,675.074006
110.691037,500,681.194101
106.997909,500,687.326715
107.911404,500,693.542454
107.405914,500,699.62318
106.478385,500,705.724587
107.973511,500,711.866237
107.487891,500,718.015749
110.880097,500,724.190793
108.991154,500,730.268158
108.374981,500,736.374582
110.366975,500,742.486719
107.920297,500,748.703015
105.344956,500,754.798151
107.092151,500,760.904105
106.958543,500,767.054095
109.809791,500,773.173365
108.829804,500,779.363248
108.048059,500,785.431012
108.719749,500,791.195801
105.70259,500,797.294595
109.382916,500,803.421002
106.185914,500,809.643788
106.947082,500,815.713157
108.954207,500,821.825867
108.365521,500,827.943353
111.869979,500,834.066197
108.070323,500,839.949049
106.358656,500,843.059159
107.611734,500,847.641019
112.637854,500,854.017212
107.454737,500,860.481226
107.486415,500,866.934617
-93.693135,500,873.424297
111.675896,500,879.862889
108.802774,500,886.199502
110.06655,500,892.446201
-50.151894,456,898.129376
112.570462,500,904.312372
108.181053,500,910.481859
107.680301,500,916.674846
109.640136,500,922.798458
109.214275,500,929.054833
108.547755,500,935.2033
109.579291,500,941.33658
111.294241,500,947.482173
109.751738,500,953.583467
110.011129,500,959.829445
107.627698,500,965.952677
109.344063,500,972.117651
112.349027,500,978.240101
107.932262,500,984.357988
111.564324,500,990.6182
112.630444,500,996.785995
112.437803,500,1002.980463
108.03528,500,1009.096905
112.040053,500,1015.186186
107.011268,500,1021.433573
109.540351,500,1027.238972
46.520413,500,1033.39086
107.587111,500,1039.517258
110.916094,500,1045.611176
112.511793,500,1051.887967
107.834083,500,1058.025384
110.88029,500,1064.215966
-112.260752,365,1068.791426
110.654307,500,1074.916867
111.287879,500,1081.156255
112.475148,500,1087.309254
108.987263,500,1093.537613
110.627106,500,1099.651787
110.948102,500,1105.787412
108.407919,500,1112.053567
109.830187,500,1118.221171
13.130127,500,1124.334167
107.794077,500,1130.436599
110.892104,500,1136.557216
110.651346,500,1142.833297
106.195161,500,1149.114711
109.053043,500,1155.241525
111.215546,500,1161.318181
109.647531,500,1167.437884
113.314915,500,1173.650525
111.781178,500,1179.794935
112.047728,500,1185.865513
110.970145,500,1191.94817
108.281114,500,1198.089843
109.840108,500,1204.33303
111.540835,500,1210.451105
109.935994,500,1216.514714
113.474594,500,1222.26309
110.529785,500,1228.418126
110.653446,500,1234.553885
