#{"t_start": 1789938666.954075, "env_id": "None"}
r,l,t
-71.457016,109,12.152157
-356.48773,109,12.152157
-373.07214,144,16.211365
-396.659,144,16.211365
-257.2646,407,38.660625
-324.56476,407,38.660625
170.13513,500,45.176065
138.72229,500,45.176065
76.069534,500,45.176065
143.2783,500,45.176065
19.056736,500,45.176065
-205.365,500,45.176065
58.30551,500,45.176065
-224.12897,500,45.176065
157.05128,500,45.176065
-315.2525,500,45.176065
-46.07832,86,52.496872
-254.6467,86,52.496872
75.691925,500,54.326464
128.31046,500,54.326464
-30.77023,116,54.849143
-343.6302,116,54.849143
93.9712,500,58.380623
126.79139,500,58.381123
-287.9386,102,63.736342
-93.77841,102,63.736342
-125.38896,161,68.783823
-290.18265,161,68.783823
-120.98661,191,69.30306
-648.3498,191,69.30306
121.92115,500,79.386704
135.49516,500,79.386704
-112.506134,199,81.662325
-230.31007,199,81.662325
78.77466,500,82.464959
136.18303,500,82.464959
78.51041,500,82.464959
-264.6793,500,82.464959
165.8404,500,82.464959
-307.48828,500,82.464959
-96.34821,148,86.659339
-234.23964,148,86.659339
-255.78569,96,88.056291
-69.45434,96,88.056791
80.28382,500,89.951897
-261.25217,500,89.951897
-154.88705,194,93.227877
-661.2792,194,93.227877
-2.6150894,500,96.647684
29.499868,500,96.647684
-88.38464,139,97.880077
-388.86002,139,97.880077
55.795372,500,100.406634
111.58059,500,100.406634
-61.58153,93,105.85082
-238.80869,93,105.85082
61.718098,500,119.811402
148.0472,500,119.811402
29.990805,500,119.811402
-328.24237,500,119.811402
72.62781,500,125.195973
158.01357,500,125.195973
-50.19119,82,127.212425
-258.61197,82,127.212425
153.74217,500,131.91415
-312.78998,500,131.91465
-117.05703,500,135.234632
-104.0004,500,135.234632
45.091507,500,138.675297
118.164536,500,138.675297
98.31531,500,142.403106
-271.69592,500,142.403605
-227.25516,500,147.986357
-166.5831,500,147.986357
-18.806023,500,161.620397
-34.032997,500,161.620898
-21.908321,500,166.843351
107.4514,500,166.843351
35.887383,500,168.75372
152.5164,500,168.75372
146.36186,500,173.080103
-314.17172,500,173.080103
-15.764582,500,174.92736
82.25954,500,174.92736
-38.642403,500,179.857294
-162.12003,500,179.857294
148.38452,500,183.612552
-325.48895,500,183.612552
150.49924,500,189.08166
-332.1123,500,189.08166
-83.66724,187,189.333716
-628.0165,187,189.334222
-28.739668,147,201.17137
-394.1897,147,201.17137
39.313232,500,202.937201
-213.59021,500,202.9377
110.74232,500,207.148527
123.31864,500,207.149027
65.11204,500,210.699831
-268.2565,500,210.699831
-103.66965,73,214.156975
-222.9976,73,214.156975
76.64618,500,217.146383
117.54144,500,217.146383
103.402306,500,221.886475
140.25024,500,221.886475
-61.16976,500,225.56128
-150.81587,500,225.56128
93.58389,500,231.103541
137.17476,500,231.104043
74.42617,500,243.920382
-271.89157,500,243.920382
62.025425,500,245.594844
-247.53474,500,245.594844
86.00682,500,252.71933
112.484406,500,252.71933
117.440575,500,255.89528
84.47742,500,255.89528
114.861015,500,258.784728
129.75851,500,258.784728
-351.6874,500,263.527052
-257.2769,500,263.527052
70.93057,500,267.183023
117.94199,500,267.183023
-114.986275,193,267.57033
-621.03296,193,267.57033
56.2312,500,271.429141
-304.24548,500,271.429141
45.558178,500,284.810775
-247.21577,500,284.810775
46.837074,500,286.484416
-230.02504,500,286.484416
-78.27464,94,291.660062
-222.41779,94,291.660566
-222.06216,74,291.840529
-60.61469,74,291.841028
-422.69705,500,297.035169
-1306.8505,500,297.035169
81.850365,500,300.312998
-270.0638,500,300.312998
-39.44572,102,300.807851
-261.5421,102,300.808352
