#{"t_start": 1789594074.8588004, "env_id": "None"}
r,l,t
-47.586838,61,6.869202
-75.17876,63,6.98347
-35.120625,69,7.31171
-41.937134,72,7.508793
-49.402283,104,9.176053
86.4758,500,31.76642
-1.7427691,500,31.76642
-28.224699,500,31.767426
-306.40665,500,31.767426
-149.45935,500,31.767426
61.194973,500,35.658156
94.55317,500,35.780491
103.509705,500,36.09068
5.2233543,500,36.256537
-165.63461,500,37.858357
-56.85376,50,38.816813
-102.99509,135,39.460893
-168.58542,154,41.294922
-105.34725,90,43.222054
-127.843864,98,45.081455
-59.730515,73,49.74422
-74.018135,73,53.199423
-241.9541,230,53.453777
0.49103063,500,59.857009
-9.725061,500,59.857009
-727.37976,500,59.857009
6.90656,500,63.719214
-65.15021,62,63.790417
-436.69626,500,63.867084
-162.13406,500,64.179822
-167.78271,189,64.396332
108.32329,500,66.7841
-765.2606,500,71.236357
-480.51947,500,81.119555
-388.53122,500,87.61716
-585.4764,500,87.61716
-539.0,500,91.364223
-246.33965,500,91.43774
99.399895,500,91.505894
-269.44757,500,91.806555
-110.21814,500,92.011966
-53.883003,77,92.220958
113.751625,500,94.318622
-126.71614,97,97.20942
-71.60372,100,97.735066
-729.2149,500,98.538731
-98.74855,99,99.807959
-48.90351,79,104.339705
-247.3106,169,107.400482
-440.0571,500,108.206574
-128.27365,131,111.53411
79.79115,500,114.747544
-60.431297,95,115.969603
78.94812,500,118.451756
-45.133904,500,118.523787
62.387615,500,118.591401
-392.9672,500,119.076242
-55.388844,79,120.567791
116.07463,500,123.441105
-484.03958,500,124.827382
-99.375275,138,126.46248
-74.79904,81,128.180591
-317.05692,220,129.814273
-45.88102,58,131.729725
65.24264,500,134.461971
-414.77542,500,135.243909
75.5893,500,141.85744
-64.56872,53,144.330068
-67.08627,500,145.603458
-27.026491,500,145.726732
-171.33678,500,147.71697
-65.27258,75,149.203156
-51.71561,91,149.597461
-43.836594,68,150.975307
-774.77625,500,151.185764
103.55076,500,153.601365
-82.69876,102,154.879078
-43.343037,79,155.733304
-48.568592,59,156.412277
-111.102585,103,156.712881
18.83136,500,157.005762
115.44918,500,158.08872
-50.821922,63,160.277591
-47.120293,68,160.801142
6.7144675,500,161.70007
-761.73254,500,162.471149
-45.33329,66,163.949118
-165.07034,173,169.398677
113.660675,500,172.051679
-274.5057,500,176.702667
-126.88097,500,181.965004
-13.86058,334,182.263195
-867.18677,500,182.839854
-41.38964,500,184.072441
-44.492252,57,184.699777
80.33262,500,185.190818
54.70113,500,188.806575
-37.49079,71,188.966924
-8.436821,500,189.595026
108.044754,500,196.373866
-227.27888,198,199.050803
93.90819,500,199.16562
104.1189,500,203.792974
21.438446,500,209.299108
-456.786,500,209.873746
-122.99693,137,211.049301
-306.82178,500,211.117991
-77.1508,52,211.793348
75.48561,500,212.240282
-604.63654,500,215.924227
-74.849525,71,215.995904
-598.6358,500,216.572695
-247.57495,211,222.711747
110.807755,500,223.388668
112.56833,500,225.963382
-795.50305,500,226.079104
-959.7959,500,236.946681
-544.9434,500,238.174078
117.027374,500,239.264842
-113.077515,94,241.368575
-514.85297,500,242.989297
-56.346268,500,243.060969
-57.15548,68,243.375184
-7.1736,500,243.674604
-41.152653,69,245.588674
-40.55066,61,246.063359
-48.531624,85,247.182251
87.90702,500,249.97595
-71.98012,68,250.188854
-58.50518,86,250.628636
88.28586,500,250.703816
-44.196392,61,253.09009
113.35508,500,253.297559
96.44953,500,253.414771
-97.56151,94,255.118784
-41.641773,57,256.700331
-61.769596,84,260.797589
-121.733765,115,261.567874
17.982063,500,265.640038
-45.59649,83,270.395057
117.69814,500,270.824704
-342.66263,382,270.898851
-215.91728,500,271.173444
-103.044846,500,274.551697
107.204155,500,277.897374
-239.85219,320,279.213701
-542.0448,500,280.466731
-453.1341,500,280.582978
-19.428425,229,282.394673
-54.962437,72,286.47839
6.63039,500,287.673063
100.87689,500,296.108391
-639.5732,500,296.54436
-739.16156,500,297.644356
-60.859707,500,300.976274
-43.855114,500,304.307049
83.84844,500,305.607044
-238.74712,500,306.881914
-83.26144,500,306.995139
93.64748,500,312.929257
37.609974,500,314.053236
-244.82013,253,319.07785
-735.6984,500,322.687248
104.87827,500,323.116065
-219.36287,500,323.36104
-74.07673,65,326.93792
-526.90344,500,327.493637
106.220116,500,329.995336
-64.13852,65,330.475272
-470.0961,500,333.372419
-65.12128,500,333.490182
-41.572124,52,333.740829
-162.94777,209,334.04578
-44.766712,57,336.392972
50.656326,500,339.448429
34.650356,500,340.570638
-221.8656,193,340.635815
-49.138695,61,342.290693
-402.72968,500,345.556754
-40.84253,60,345.945603
-173.66463,500,349.882946
27.024084,500,353.444642
-71.51252,68,356.5619
-310.2473,214,356.670955
-400.0391,500,359.870971
-44.77774,53,359.936618
-657.80023,500,360.005232
64.42883,500,360.529303
64.172226,500,362.878102
-50.952667,49,365.949666
33.82795,500,367.067489
115.4818,500,367.134134
-192.86386,239,369.288617
-699.9135,500,371.954494
-48.716183,49,374.221776
